,latitude,longitude,so,thetao
2022-05-24 23:00:00,36.520832,-2.458332,37.21216,19.237907
2022-05-25 00:00:00,36.520832,-2.458332,37.209583,19.21183
2022-05-25 01:00:00,36.520832,-2.458332,37.20688,19.185474
2022-05-25 02:00:00,36.520832,-2.458332,37.206997,19.162298
2022-05-25 03:00:00,36.520832,-2.458332,37.208927,19.14303
2022-05-25 04:00:00,36.520832,-2.458332,37.212837,19.129799
2022-05-25 05:00:00,36.520832,-2.458332,37.217922,19.121225
2022-05-25 06:00:00,36.520832,-2.458332,37.22396,19.121473
2022-05-25 07:00:00,36.520832,-2.458332,37.232265,19.135462
2022-05-25 08:00:00,36.520832,-2.458332,37.242233,19.162882
2022-05-25 09:00:00,36.520832,-2.458332,37.252575,19.210518
2022-05-25 10:00:00,36.520832,-2.458332,37.26299,19.266973
2022-05-25 11:00:00,36.520832,-2.458332,37.2735,19.324497
2022-05-25 12:00:00,36.520832,-2.458332,37.283684,19.381798
2022-05-25 13:00:00,36.520832,-2.458332,37.29341,19.443668
2022-05-25 14:00:00,36.520832,-2.458332,37.303383,19.502665
2022-05-25 15:00:00,36.520832,-2.458332,37.31397,19.548855
2022-05-25 16:00:00,36.520832,-2.458332,37.325016,19.575016
2022-05-25 17:00:00,36.520832,-2.458332,37.336605,19.57582
2022-05-25 18:00:00,36.520832,-2.458332,37.348564,19.549309
2022-05-25 19:00:00,36.520832,-2.458332,37.358433,19.519274
2022-05-25 20:00:00,36.520832,-2.458332,37.36004,19.49181
2022-05-25 21:00:00,36.520832,-2.458332,37.350418,19.456356
2022-05-25 22:00:00,36.520832,-2.458332,37.33386,19.410116
2022-05-25 23:00:00,36.520832,-2.458332,37.318344,19.367277
2022-05-26 00:00:00,36.520832,-2.458332,37.224068,19.451653
2022-05-26 01:00:00,36.520832,-2.458332,37.22961,19.419998
2022-05-26 02:00:00,36.520832,-2.458332,37.23121,19.394123
2022-05-26 03:00:00,36.520832,-2.458332,37.2314,19.370499
2022-05-26 04:00:00,36.520832,-2.458332,37.23355,19.354952
2022-05-26 05:00:00,36.520832,-2.458332,37.238453,19.347971
2022-05-26 06:00:00,36.520832,-2.458332,37.24583,19.352352
2022-05-26 07:00:00,36.520832,-2.458332,37.254482,19.372349
2022-05-26 08:00:00,36.520832,-2.458332,37.26297,19.412867
2022-05-26 09:00:00,36.520832,-2.458332,37.270126,19.470085
2022-05-26 10:00:00,36.520832,-2.458332,37.27643,19.575565
2022-05-26 11:00:00,36.520832,-2.458332,37.282448,19.692368
2022-05-26 12:00:00,36.520832,-2.458332,37.289402,19.79242
2022-05-26 13:00:00,36.520832,-2.458332,37.29768,19.863895
2022-05-26 14:00:00,36.520832,-2.458332,37.306324,19.897081
2022-05-26 15:00:00,36.520832,-2.458332,37.313927,19.894064
2022-05-26 16:00:00,36.520832,-2.458332,37.319008,19.862045
2022-05-26 17:00:00,36.520832,-2.458332,37.31972,19.809162
2022-05-26 18:00:00,36.520832,-2.458332,37.31353,19.7422
2022-05-26 19:00:00,36.520832,-2.458332,37.30056,19.672789
2022-05-26 20:00:00,36.520832,-2.458332,37.28715,19.616903
2022-05-26 21:00:00,36.520832,-2.458332,37.279068,19.580357
2022-05-26 22:00:00,36.520832,-2.458332,37.27461,19.555208
2022-05-26 23:00:00,36.520832,-2.458332,37.274734,19.544838
2022-05-27 00:00:00,36.520832,-2.458332,37.32836,19.400146
2022-05-27 01:00:00,36.520832,-2.458332,37.33292,19.400215
2022-05-27 02:00:00,36.520832,-2.458332,37.337173,19.398483
2022-05-27 03:00:00,36.520832,-2.458332,37.338707,19.390026
2022-05-27 04:00:00,36.520832,-2.458332,37.3425,19.388935
2022-05-27 05:00:00,36.520832,-2.458332,37.345028,19.38504
2022-05-27 06:00:00,36.520832,-2.458332,37.347374,19.386696
2022-05-27 07:00:00,36.520832,-2.458332,37.34859,19.403397
2022-05-27 08:00:00,36.520832,-2.458332,37.348427,19.441435
2022-05-27 09:00:00,36.520832,-2.458332,37.346813,19.501663
2022-05-27 10:00:00,36.520832,-2.458332,37.343403,19.63743
2022-05-27 11:00:00,36.520832,-2.458332,37.337578,19.804192
2022-05-27 12:00:00,36.520832,-2.458332,37.329662,19.969204
2022-05-27 13:00:00,36.520832,-2.458332,37.320248,20.116444
2022-05-27 14:00:00,36.520832,-2.458332,37.309883,20.227175
2022-05-27 15:00:00,36.520832,-2.458332,37.299194,20.291828
2022-05-27 16:00:00,36.520832,-2.458332,37.289032,20.31737
2022-05-27 17:00:00,36.520832,-2.458332,37.28044,20.31254
2022-05-27 18:00:00,36.520832,-2.458332,37.27445,20.28172
2022-05-27 19:00:00,36.520832,-2.458332,37.27169,20.229673
2022-05-27 20:00:00,36.520832,-2.458332,37.272484,20.173613
2022-05-27 21:00:00,36.520832,-2.458332,37.276604,20.12495
2022-05-27 22:00:00,36.520832,-2.458332,37.282284,20.075531
2022-05-27 23:00:00,36.520832,-2.458332,37.28745,20.017244
2022-05-28 00:00:00,36.520832,-2.458332,37.263744,19.985209
2022-05-28 01:00:00,36.520832,-2.458332,37.267944,19.936161
2022-05-28 02:00:00,36.520832,-2.458332,37.27219,19.89933
2022-05-28 03:00:00,36.520832,-2.458332,37.275856,19.865639
2022-05-28 04:00:00,36.520832,-2.458332,37.27812,19.825073
2022-05-28 05:00:00,36.520832,-2.458332,37.275646,19.769382
2022-05-28 06:00:00,36.520832,-2.458332,37.26012,19.709618
2022-05-28 07:00:00,36.520832,-2.458332,37.24875,19.698872
2022-05-28 08:00:00,36.520832,-2.458332,37.233593,19.712088
2022-05-28 09:00:00,36.520832,-2.458332,37.216316,19.759075
2022-05-28 10:00:00,36.520832,-2.458332,37.199787,19.897995
2022-05-28 11:00:00,36.520832,-2.458332,37.18459,20.061605
2022-05-28 12:00:00,36.520832,-2.458332,37.172245,20.22655
2022-05-28 13:00:00,36.520832,-2.458332,37.164368,20.390154
2022-05-28 14:00:00,36.520832,-2.458332,37.161373,20.543468
2022-05-28 15:00:00,36.520832,-2.458332,37.162888,20.672249
2022-05-28 16:00:00,36.520832,-2.458332,37.168198,20.763636
2022-05-28 17:00:00,36.520832,-2.458332,37.176666,20.812101
2022-05-28 18:00:00,36.520832,-2.458332,37.18732,20.822985
2022-05-28 19:00:00,36.520832,-2.458332,37.19866,20.804817
2022-05-28 20:00:00,36.520832,-2.458332,37.208736,20.771236
2022-05-28 21:00:00,36.520832,-2.458332,37.21546,20.725954
2022-05-28 22:00:00,36.520832,-2.458332,37.21657,20.660795
2022-05-28 23:00:00,36.520832,-2.458332,37.209873,20.56274
2022-05-29 00:00:00,36.520832,-2.458332,37.187553,20.436327
2022-05-29 01:00:00,36.520832,-2.458332,37.165665,20.312092
2022-05-29 02:00:00,36.520832,-2.458332,37.141598,20.20892
