,0,1,2,3,4,5
0,0,1,3,5,4,0
1,0,1,3,5,4,2
2,0,1,3,5,5,4
3,0,1,3,5,5,5
4,0,0,1,3,5,4
5,0,0,1,3,5,5
6,0,0,0,1,3,5
7,0,0,0,0,1,3
8,0,0,0,0,0,1
9,0,0,0,0,0,0
10,1,3,5,4,0,0
11,1,3,5,4,2,2
12,1,3,5,5,4,0
13,1,3,5,5,4,2
14,1,3,5,5,5,4
15,1,3,5,5,5,5
16,2,3,5,4,0,0
17,2,3,5,4,2,2
18,2,3,5,5,4,0
19,2,3,5,5,4,2
20,2,3,5,5,5,4
21,2,3,5,5,5,5
22,2,2,3,5,4,0
23,2,2,3,5,4,2
24,2,2,3,5,5,4
25,2,2,3,5,5,5
26,2,2,2,3,5,4
27,2,2,2,3,5,5
28,2,2,2,2,3,5
29,2,2,2,2,2,3
30,2,2,2,2,2,2
31,3,5,4,0,0,0
32,3,5,4,2,2,2
33,3,5,5,4,0,0
34,3,5,5,4,2,2
35,3,5,5,5,4,0
36,3,5,5,5,4,2
37,3,5,5,5,5,4
38,3,5,5,5,5,5
39,3,2,3,5,4,0
40,3,2,3,5,4,2
41,3,2,3,5,5,4
42,3,2,3,5,5,5
43,4,0,0,0,0,0
44,4,2,3,5,4,0
45,4,2,3,5,4,2
46,4,2,3,5,5,4
47,4,2,3,5,5,5
48,4,2,2,3,5,4
49,4,2,2,3,5,5
50,4,2,2,2,3,5
51,4,2,2,2,2,3
52,4,2,2,2,2,2
53,5,4,0,0,0,0
54,5,4,2,2,2,3
55,5,4,2,2,2,2
56,5,5,4,0,0,0
57,5,5,4,2,2,2
58,5,5,5,4,0,0
59,5,5,5,4,2,2
60,5,5,5,5,4,0
61,5,5,5,5,4,2
62,5,5,5,5,5,4
63,5,5,5,5,5,5
