,0,1,2,3,4,5,6,7,8,9
0,3,3,5,4,2,2,2,2,2,3
1,2,2,2,2,3,5,4,2,2,2
2,4,2,0,1,1,1,2,0,0,0
3,2,0,1,1,1,2,0,0,0,1
4,3,5,5,4,2,0,0,0,0,0
5,3,3,3,3,5,5,5,4,0,1
6,2,3,5,5,4,2,2,0,1,1
7,3,3,3,5,5,5,5,4,0,1
8,5,4,2,2,3,5,4,2,0,1
9,3,3,3,5,4,2,2,2,0,0
10,3,5,5,4,2,0,0,0,1,1
11,3,3,3,5,4,2,2,2,2,0
12,1,1,1,2,2,3,5,5,4,2
13,4,0,1,1,1,2,2,0,0,1
14,4,2,3,5,5,5,5,4,2,3
15,3,5,4,2,3,5,4,0,1,1
16,2,0,1,1,1,2,2,0,1,2
17,2,2,2,3,5,4,0,0,1,1
18,2,2,0,0,0,0,0,0,0,1
19,5,4,2,2,0,1,1,1,2,3
20,4,2,2,3,5,4,2,0,0,1
21,2,2,2,2,2,2,2,3,5,5
22,2,3,5,5,5,4,2,2,0,1
23,3,5,4,2,2,3,5,5,4,0
24,4,0,1,1,1,2,3,5,4,2
25,1,1,1,2,2,2,2,2,2,3
26,3,5,5,4,2,2,3,5,5,5
27,3,3,3,3,5,4,2,2,3,5
28,4,2,3,5,4,0,1,1,1,2
29,2,2,2,3,5,5,4,0,0,0
30,2,3,5,4,2,3,5,4,2,0
31,4,2,2,2,2,2,2,0,0,1
32,3,3,5,4,2,2,0,0,0,0
33,3,3,5,5,4,2,2,0,0,0
34,0,0,1,1,1,2,2,3,5,4
35,5,4,2,3,5,4,0,0,1,1
36,4,2,2,2,2,3,5,4,2,3
37,3,3,5,5,4,2,2,2,2,3
38,2,2,3,5,4,2,2,2,2,3
39,3,3,5,5,5,4,2,2,3,5
40,3,3,5,5,5,4,2,2,0,0
41,3,3,5,5,5,4,2,2,2,0
42,4,2,2,3,5,5,4,2,0,1
43,2,2,2,3,5,4,2,2,0,1
44,2,3,5,5,4,2,2,2,2,3
45,3,5,4,2,2,3,5,4,0,1
46,2,3,5,5,5,5,5,5,4,2
47,5,4,2,2,2,3,5,5,4,2
48,3,5,5,4,2,3,5,4,0,1
49,4,0,0,1,1,1,2,0,1,2
50,3,5,5,5,4,2,2,0,0,0
51,3,5,4,2,3,5,4,2,2,3
52,3,5,5,5,4,2,2,2,2,3
53,2,2,2,2,2,2,2,2,2,2
54,4,2,2,3,5,4,2,2,2,2
55,1,1,1,2,0,1,2,2,2,2
56,2,2,2,2,2,3,5,5,5,5
57,3,3,5,4,2,0,1,1,1,2
58,2,2,2,0,1,1,1,2,2,3
59,5,4,2,2,2,2,2,3,5,4
60,3,5,4,2,2,0,0,0,0,0
61,2,3,5,4,2,0,0,1,1,1
62,2,2,2,2,3,5,5,5,5,4
63,2,3,5,5,5,5,5,4,0,1
64,5,4,2,2,2,2,0,0,0,0
65,3,5,4,2,2,0,0,0,1,1
66,0,1,1,1,2,2,2,2,2,0
67,4,2,2,2,3,5,4,2,2,0
68,1,1,1,2,2,2,0,1,2,0
69,3,3,3,3,3,3,3,3,3,5
70,1,1,1,2,2,0,1,2,3,5
71,1,1,1,2,2,0,1,2,0,0
72,3,3,5,4,0,0,0,1,1,1
73,1,1,1,2,2,0,0,0,0,1
74,4,2,2,2,2,2,2,2,0,1
75,0,0,0,1,1,1,2,2,2,3
76,3,3,3,5,4,2,0,1,1,1
77,4,2,2,0,0,1,1,1,2,3
78,0,0,1,1,1,2,3,5,4,2
79,2,2,2,2,0,0,0,1,1,1
80,2,2,3,5,5,4,2,2,2,3
81,3,5,5,4,2,3,5,5,4,2
82,0,0,1,1,1,2,2,2,3,5
83,3,5,5,5,4,2,2,3,5,4
84,0,0,1,1,1,2,2,2,0,0
85,3,3,3,3,5,5,4,2,2,3
86,0,0,1,1,1,2,2,2,2,0
87,3,5,4,0,0,0,0,1,1,1
88,3,3,3,3,3,3,5,4,2,2
89,1,1,1,2,0,1,2,2,2,3
90,2,0,1,1,1,2,2,2,3,5
91,2,0,1,1,1,2,3,5,5,4
92,2,0,1,1,1,2,2,2,0,0
93,3,5,5,5,5,5,5,5,5,5
94,1,1,1,2,2,3,5,4,2,0
95,3,5,5,4,0,0,1,1,1,2
96,0,0,0,0,0,1,1,1,2,3
97,4,0,0,0,0,1,1,1,2,2
98,3,5,5,4,2,0,1,1,1,2
99,2,2,3,5,5,5,4,2,0,0
100,2,2,3,5,5,5,4,2,2,0
101,3,3,5,5,5,5,5,4,0,0
102,5,4,0,0,0,1,1,1,2,3
103,2,0,1,1,1,2,0,1,2,0
104,4,2,0,0,1,1,1,2,0,1
105,2,3,5,5,5,4,0,0,1,1
106,2,2,3,5,4,0,0,1,1,1
107,3,3,5,5,5,4,0,1,1,1
108,5,4,0,0,1,1,1,2,2,2
109,4,2,2,2,0,0,0,0,0,0
110,0,1,1,1,2,0,0,0,0,1
111,4,2,2,2,0,0,0,0,1,1
112,5,4,2,3,5,5,4,2,0,1
113,2,2,2,2,2,3,5,5,4,0
114,3,5,4,0,0,0,1,1,1,2
115,5,4,2,3,5,4,0,1,1,1
116,3,3,3,3,5,5,5,5,4,0
117,2,2,2,2,3,5,5,4,2,0
118,4,0,0,1,1,1,2,2,0,0
119,5,4,2,3,5,5,5,5,5,5
120,5,4,2,2,2,3,5,4,0,0
121,5,4,2,2,2,3,5,4,2,0
122,3,3,3,3,3,5,4,2,2,3
123,2,3,5,4,2,2,0,0,1,1
124,3,3,3,3,3,5,5,4,2,3
125,1,1,1,2,2,0,1,2,2,2
126,3,5,4,2,2,2,0,0,0,1
127,3,5,5,5,5,5,4,0,0,0
128,3,3,5,4,0,1,1,1,2,2
129,2,3,5,5,5,5,4,0,0,0
130,5,4,2,2,2,2,2,0,1,1
131,3,3,3,3,5,5,5,4,2,3
132,3,3,3,5,5,5,5,4,2,3
133,0,1,1,1,2,0,1,2,0,1
134,5,4,2,2,3,5,4,2,2,3
135,3,5,4,2,0,0,0,1,1,1
136,3,3,3,3,3,3,3,3,3,3
137,3,5,5,5,4,2,3,5,5,5
138,2,2,3,5,5,4,2,2,3,5
139,0,1,1,1,2,2,2,3,5,5
140,4,2,2,2,2,3,5,5,4,0
141,4,0,1,1,1,2,0,1,2,2
142,2,0,1,1,1,2,2,2,2,2
143,4,2,3,5,5,4,2,0,1,1
144,2,3,5,5,5,4,2,2,2,3
145,3,3,5,5,5,5,5,4,2,2
146,2,2,2,2,2,2,2,3,5,4
147,2,0,0,0,1,1,1,2,0,0
148,2,0,0,0,1,1,1,2,2,0
149,3,3,5,4,0,0,1,1,1,2
150,0,0,0,0,1,1,1,2,2,0
151,3,5,5,4,2,2,3,5,5,4
152,3,3,5,5,5,5,5,5,5,5
153,4,2,2,2,2,2,2,0,1,1
154,3,5,4,2,0,1,1,1,2,3
155,3,3,5,5,5,5,4,2,2,2
156,4,0,1,1,1,2,0,0,0,1
157,4,0,1,1,1,2,3,5,5,5
158,5,4,2,3,5,4,0,0,0,0
159,3,3,3,5,5,4,2,2,3,5
160,3,5,5,4,0,1,1,1,2,2
161,3,3,3,5,5,4,2,2,0,0
162,3,3,3,5,5,4,2,2,2,0
163,2,3,5,5,4,0,0,0,0,0
164,2,0,1,1,1,2,0,0,1,2
165,4,2,2,3,5,5,4,2,2,3
166,2,2,2,3,5,4,2,2,2,3
167,3,3,5,5,5,4,2,3,5,5
168,2,3,5,5,4,0,0,0,1,1
169,4,2,3,5,4,2,2,0,0,0
170,3,5,4,2,2,3,5,4,2,3
171,4,2,2,3,5,4,0,0,0,1
172,3,5,5,4,2,3,5,4,2,3
173,4,0,1,1,1,2,2,0,1,2
174,3,5,5,5,5,4,2,2,2,2
175,5,4,2,2,2,0,0,0,0,1
176,3,3,5,4,0,0,0,0,1,1
177,0,1,1,1,2,3,5,5,5,5
178,2,3,5,4,2,2,3,5,4,2
179,4,0,0,1,1,1,2,2,2,2
180,2,2,2,2,2,2,0,1,1,1
181,5,4,2,2,3,5,5,5,4,2
182,1,1,1,2,2,2,2,0,0,1
183,5,4,2,2,2,3,5,5,5,5
184,3,3,5,5,4,2,0,0,0,0
185,2,2,2,2,2,3,5,4,0,1
186,2,3,5,5,5,5,5,4,2,3
187,3,3,3,5,4,2,2,3,5,5
188,2,2,3,5,4,2,2,0,0,1
189,5,4,2,3,5,4,2,2,0,1
190,2,2,2,3,5,4,2,3,5,5
191,2,3,5,4,2,2,2,2,2,2
192,4,2,2,2,3,5,4,2,3,5
193,3,5,5,5,4,2,0,0,0,0
194,2,3,5,5,5,5,4,2,3,5
195,2,2,2,2,3,5,5,5,4,0
196,3,5,4,2,2,2,2,2,0,0
197,3,5,4,2,2,2,2,2,2,0
198,4,2,2,3,5,4,2,3,5,4
199,0,0,0,0,0,0,1,1,1,2
200,5,4,2,3,5,5,4,2,2,2
201,2,0,0,0,1,1,1,2,2,2
202,2,2,2,3,5,5,5,5,4,2
203,4,2,2,2,2,3,5,5,5,5
204,3,5,5,5,5,5,5,5,5,4
205,3,5,4,2,2,2,0,1,1,1
206,3,3,3,3,5,4,2,2,0,1
207,2,2,3,5,5,4,0,0,0,0
208,4,2,0,0,1,1,1,2,2,3
209,5,4,0,1,1,1,2,2,0,1
210,0,0,0,1,1,1,2,0,0,1
211,4,2,2,2,0,1,1,1,2,3
212,2,0,0,0,0,0,0,0,0,0
213,5,4,2,0,1,1,1,2,0,0
214,5,4,2,0,1,1,1,2,2,0
215,2,3,5,5,4,2,3,5,4,0
216,4,2,2,2,2,0,0,0,1,1
217,0,1,1,1,2,0,1,2,2,2
218,2,2,2,2,2,0,1,1,1,2
219,5,4,2,0,0,1,1,1,2,2
220,3,3,3,3,5,5,4,0,0,1
221,3,3,3,5,5,5,4,0,0,1
222,5,4,2,3,5,5,4,2,2,3
223,1,1,1,2,3,5,5,5,4,0
224,3,5,4,2,3,5,5,4,2,2
225,0,0,1,1,1,2,0,1,2,2
226,4,0,1,1,1,2,2,2,3,5
227,4,0,1,1,1,2,2,2,0,0
228,4,0,1,1,1,2,2,2,2,0
229,5,4,0,1,1,1,2,3,5,5
230,2,2,3,5,4,2,2,3,5,5
231,5,4,2,3,5,5,5,5,5,4
232,4,2,3,5,5,5,4,0,0,1
233,5,4,2,2,3,5,5,4,2,0
234,3,3,3,3,3,5,5,5,5,5
235,3,3,5,5,5,5,4,0,1,1
236,2,2,2,3,5,5,4,2,2,2
237,0,1,1,1,2,2,3,5,4,0
238,3,3,5,5,4,2,3,5,5,4
239,3,5,5,5,5,5,4,2,0,1
240,0,1,1,1,2,0,1,2,2,3
241,2,3,5,4,0,1,1,1,2,3
242,2,3,5,5,5,5,4,2,0,1
