,0,1,2,3,4,5,6,7,8,9
0,0,1,2,2,2,2,2,2,2,2
1,0,0,1,2,2,2,2,2,2,2
2,0,0,0,1,2,2,2,2,2,2
3,0,0,0,0,1,2,2,2,2,2
4,0,0,0,0,0,1,2,2,2,2
5,0,0,0,0,0,0,1,2,2,2
6,0,0,0,0,0,0,0,1,2,2
7,0,0,0,0,0,0,0,0,1,2
8,0,0,0,0,0,0,0,0,1,3
9,0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0
11,1,2,3,5,4,0,0,0,0,0
12,1,2,3,5,4,2,2,3,5,4
13,1,2,3,5,4,2,2,3,5,5
14,1,2,3,5,4,2,2,0,0,0
15,1,2,3,5,4,2,0,0,0,0
16,1,2,3,5,4,2,2,2,3,5
17,1,2,3,5,4,2,2,2,0,0
18,1,2,3,5,4,2,2,2,2,3
19,1,2,3,5,4,2,2,2,2,0
20,1,2,3,5,4,2,2,2,2,2
21,1,2,3,5,5,4,0,0,0,0
22,1,2,3,5,5,4,2,2,3,5
23,1,2,3,5,5,4,2,2,0,0
24,1,2,3,5,5,4,2,0,0,0
25,1,2,3,5,5,4,2,2,2,3
26,1,2,3,5,5,4,2,2,2,0
27,1,2,3,5,5,4,2,2,2,2
28,1,2,3,5,5,5,4,0,0,0
29,1,2,3,5,5,5,4,2,2,3
30,1,2,3,5,5,5,4,2,2,0
31,1,2,3,5,5,5,4,2,0,0
32,1,2,3,5,5,5,4,2,2,2
33,1,2,3,5,5,5,5,4,0,0
34,1,2,3,5,5,5,5,4,2,2
35,1,2,3,5,5,5,5,4,2,0
36,1,2,3,5,5,5,5,5,4,0
37,1,2,3,5,5,5,5,5,4,2
38,1,2,3,5,5,5,5,5,5,4
39,1,2,3,5,5,5,5,5,5,5
40,1,2,0,0,0,0,0,0,0,0
41,1,3,5,4,0,0,0,0,0,0
42,1,3,5,4,2,2,3,5,4,0
43,1,3,5,4,2,2,3,5,4,2
44,1,3,5,4,2,2,3,5,5,4
45,1,3,5,4,2,2,3,5,5,5
46,1,3,5,4,2,2,0,0,0,0
47,1,3,5,4,2,0,0,0,0,0
48,1,3,5,4,2,2,2,3,5,4
49,1,3,5,4,2,2,2,3,5,5
50,1,3,5,4,2,2,2,0,0,0
51,1,3,5,4,2,2,2,2,3,5
52,1,3,5,4,2,2,2,2,0,0
53,1,3,5,4,2,2,2,2,2,3
54,1,3,5,4,2,2,2,2,2,0
55,1,3,5,4,2,2,2,2,2,2
56,1,3,5,5,4,0,0,0,0,0
57,1,3,5,5,4,2,2,3,5,4
58,1,3,5,5,4,2,2,3,5,5
59,1,3,5,5,4,2,2,0,0,0
60,1,3,5,5,4,2,0,0,0,0
61,1,3,5,5,4,2,2,2,3,5
62,1,3,5,5,4,2,2,2,0,0
63,1,3,5,5,4,2,2,2,2,3
64,1,3,5,5,4,2,2,2,2,0
65,1,3,5,5,4,2,2,2,2,2
66,1,3,5,5,5,4,0,0,0,0
67,1,3,5,5,5,4,2,2,3,5
68,1,3,5,5,5,4,2,2,0,0
69,1,3,5,5,5,4,2,0,0,0
70,1,3,5,5,5,4,2,2,2,3
71,1,3,5,5,5,4,2,2,2,0
72,1,3,5,5,5,4,2,2,2,2
73,1,3,5,5,5,5,4,0,0,0
