,0,1,2,3,4,5,6,7,8,9
0,0,1,2,3,5,4,0,0,0,0
1,0,1,2,3,5,4,2,2,3,5
2,0,1,2,3,5,4,2,2,0,0
3,0,1,2,3,5,4,2,0,0,0
4,0,1,2,3,5,4,2,2,2,3
5,0,1,2,3,5,4,2,2,2,0
6,0,1,2,3,5,4,2,2,2,2
7,0,1,2,3,5,5,4,0,0,0
8,0,1,2,3,5,5,4,2,2,3
9,0,1,2,3,5,5,4,2,2,0
10,0,1,2,3,5,5,4,2,0,0
11,0,1,2,3,5,5,4,2,2,2
12,0,1,2,3,5,5,5,4,0,0
13,0,1,2,3,5,5,5,4,2,2
14,0,1,2,3,5,5,5,4,2,0
15,0,1,2,3,5,5,5,5,4,0
16,0,1,2,3,5,5,5,5,4,2
17,0,1,2,3,5,5,5,5,5,4
18,0,1,2,3,5,5,5,5,5,5
19,0,1,2,0,0,0,0,0,0,0
20,0,1,3,5,4,0,0,0,0,0
21,0,1,3,5,4,2,2,3,5,4
22,0,1,3,5,4,2,2,3,5,5
23,0,1,3,5,4,2,2,0,0,0
24,0,1,3,5,4,2,0,0,0,0
25,0,1,3,5,4,2,2,2,3,5
26,0,1,3,5,4,2,2,2,0,0
27,0,1,3,5,4,2,2,2,2,3
28,0,1,3,5,4,2,2,2,2,0
29,0,1,3,5,4,2,2,2,2,2
30,0,1,3,5,5,4,0,0,0,0
31,0,1,3,5,5,4,2,2,3,5
32,0,1,3,5,5,4,2,2,0,0
33,0,1,3,5,5,4,2,0,0,0
34,0,1,3,5,5,4,2,2,2,3
35,0,1,3,5,5,4,2,2,2,0
36,0,1,3,5,5,4,2,2,2,2
37,0,1,3,5,5,5,4,0,0,0
38,0,1,3,5,5,5,4,2,2,3
39,0,1,3,5,5,5,4,2,2,0
40,0,1,3,5,5,5,4,2,0,0
41,0,1,3,5,5,5,4,2,2,2
42,0,1,3,5,5,5,5,4,0,0
43,0,1,3,5,5,5,5,4,2,2
44,0,1,3,5,5,5,5,4,2,0
45,0,1,3,5,5,5,5,5,4,0
46,0,1,3,5,5,5,5,5,4,2
47,0,1,3,5,5,5,5,5,5,4
48,0,1,3,5,5,5,5,5,5,5
49,0,1,3,2,3,5,4,0,0,0
50,0,1,3,2,3,5,4,2,2,3
51,0,1,3,2,3,5,4,2,2,0
52,0,1,3,2,3,5,4,2,0,0
53,0,1,3,2,3,5,4,2,2,2
54,0,1,3,2,3,5,5,4,0,0
55,0,1,3,2,3,5,5,4,2,2
56,0,1,3,2,3,5,5,4,2,0
57,0,1,3,2,3,5,5,5,4,0
58,0,1,3,2,3,5,5,5,4,2
59,0,1,3,2,3,5,5,5,5,4
60,0,1,3,2,3,5,5,5,5,5
61,0,1,3,2,0,0,0,0,0,0
62,0,1,2,2,3,5,4,0,0,0
63,0,1,2,2,3,5,4,2,2,3
64,0,1,2,2,3,5,4,2,2,0
65,0,1,2,2,3,5,4,2,0,0
66,0,1,2,2,3,5,4,2,2,2
67,0,1,2,2,3,5,5,4,0,0
68,0,1,2,2,3,5,5,4,2,2
69,0,1,2,2,3,5,5,4,2,0
70,0,1,2,2,3,5,5,5,4,0
71,0,1,2,2,3,5,5,5,4,2
72,0,1,2,2,3,5,5,5,5,4
73,0,1,2,2,3,5,5,5,5,5
74,0,1,2,2,0,0,0,0,0,0
75,0,1,2,2,2,3,5,4,0,0
76,0,1,2,2,2,3,5,4,2,2
77,0,1,2,2,2,3,5,4,2,0
78,0,1,2,2,2,3,5,5,4,0
79,0,1,2,2,2,3,5,5,4,2
80,0,1,2,2,2,3,5,5,5,4
81,0,1,2,2,2,3,5,5,5,5
82,0,1,2,2,2,0,0,0,0,0
83,0,1,2,2,2,2,3,5,4,0
84,0,1,2,2,2,2,3,5,4,2
85,0,1,2,2,2,2,3,5,5,4
86,0,1,2,2,2,2,3,5,5,5
87,0,1,2,2,2,2,0,0,0,0
88,0,1,2,2,2,2,2,3,5,4
89,0,1,2,2,2,2,2,3,5,5
90,0,1,2,2,2,2,2,0,0,0
91,0,1,2,2,2,2,2,2,3,5
92,0,1,2,2,2,2,2,2,0,0
93,0,1,2,2,2,2,2,2,2,3
94,0,1,2,2,2,2,2,2,2,0
95,0,1,2,2,2,2,2,2,2,2
96,0,0,1,2,3,5,4,0,0,0
97,0,0,1,2,3,5,4,2,2,3
98,0,0,1,2,3,5,4,2,2,0
99,0,0,1,2,3,5,4,2,0,0
100,0,0,1,2,3,5,4,2,2,2
101,0,0,1,2,3,5,5,4,0,0
102,0,0,1,2,3,5,5,4,2,2
103,0,0,1,2,3,5,5,4,2,0
104,0,0,1,2,3,5,5,5,4,0
105,0,0,1,2,3,5,5,5,4,2
106,0,0,1,2,3,5,5,5,5,4
107,0,0,1,2,3,5,5,5,5,5
108,0,0,1,2,0,0,0,0,0,0
109,0,0,1,3,5,4,0,0,0,0
110,0,0,1,3,5,4,2,2,3,5
111,0,0,1,3,5,4,2,2,0,0
112,0,0,1,3,5,4,2,0,0,0
113,0,0,1,3,5,4,2,2,2,3
114,0,0,1,3,5,4,2,2,2,0
115,0,0,1,3,5,4,2,2,2,2
116,0,0,1,3,5,5,4,0,0,0
117,0,0,1,3,5,5,4,2,2,3
118,0,0,1,3,5,5,4,2,2,0
119,0,0,1,3,5,5,4,2,0,0
120,0,0,1,3,5,5,4,2,2,2
121,0,0,1,3,5,5,5,4,0,0
122,0,0,1,3,5,5,5,4,2,2
123,0,0,1,3,5,5,5,4,2,0
124,0,0,1,3,5,5,5,5,4,0
125,0,0,1,3,5,5,5,5,4,2
126,0,0,1,3,5,5,5,5,5,4
127,0,0,1,3,5,5,5,5,5,5
128,0,0,1,3,2,3,5,4,0,0
129,0,0,1,3,2,3,5,4,2,2
130,0,0,1,3,2,3,5,4,2,0
131,0,0,1,3,2,3,5,5,4,0
