,0,1,2,3,4,5,6,7,8,9
0,0,1,3,5,4,0,0,0,0,0
1,0,1,3,5,4,2,2,3,5,4
2,0,1,3,5,4,2,2,3,5,5
3,0,1,3,5,4,2,2,2,3,5
4,0,1,3,5,4,2,2,2,2,3
5,0,1,3,5,4,2,2,2,2,2
6,0,1,3,5,5,4,0,0,0,0
7,0,1,3,5,5,4,2,2,3,5
8,0,1,3,5,5,4,2,2,2,3
9,0,1,3,5,5,4,2,2,2,2
10,0,1,3,5,5,5,4,0,0,0
11,0,1,3,5,5,5,4,2,2,3
12,0,1,3,5,5,5,4,2,2,2
13,0,1,3,5,5,5,5,4,0,0
14,0,1,3,5,5,5,5,4,2,2
15,0,1,3,5,5,5,5,5,4,0
16,0,1,3,5,5,5,5,5,4,2
17,0,1,3,5,5,5,5,5,5,4
18,0,1,3,5,5,5,5,5,5,5
19,0,0,1,3,5,4,0,0,0,0
20,0,0,1,3,5,4,2,2,3,5
21,0,0,1,3,5,4,2,2,2,3
22,0,0,1,3,5,4,2,2,2,2
23,0,0,1,3,5,5,4,0,0,0
24,0,0,1,3,5,5,4,2,2,3
25,0,0,1,3,5,5,4,2,2,2
26,0,0,1,3,5,5,5,4,0,0
27,0,0,1,3,5,5,5,4,2,2
28,0,0,1,3,5,5,5,5,4,0
29,0,0,1,3,5,5,5,5,4,2
30,0,0,1,3,5,5,5,5,5,4
31,0,0,1,3,5,5,5,5,5,5
32,0,0,0,1,3,5,4,0,0,0
33,0,0,0,1,3,5,4,2,2,3
34,0,0,0,1,3,5,4,2,2,2
35,0,0,0,1,3,5,5,4,0,0
36,0,0,0,1,3,5,5,4,2,2
37,0,0,0,1,3,5,5,5,4,0
38,0,0,0,1,3,5,5,5,4,2
39,0,0,0,1,3,5,5,5,5,4
40,0,0,0,1,3,5,5,5,5,5
41,0,0,0,0,1,3,5,4,0,0
42,0,0,0,0,1,3,5,4,2,2
43,0,0,0,0,1,3,5,5,4,0
44,0,0,0,0,1,3,5,5,4,2
45,0,0,0,0,1,3,5,5,5,4
46,0,0,0,0,1,3,5,5,5,5
47,0,0,0,0,0,1,3,5,4,0
48,0,0,0,0,0,1,3,5,4,2
49,0,0,0,0,0,1,3,5,5,4
50,0,0,0,0,0,1,3,5,5,5
51,0,0,0,0,0,0,1,3,5,4
52,0,0,0,0,0,0,1,3,5,5
53,0,0,0,0,0,0,0,1,3,5
54,0,0,0,0,0,0,0,0,1,3
55,0,0,0,0,0,0,0,0,0,1
56,0,0,0,0,0,0,0,0,0,0
57,1,3,5,4,0,0,0,0,0,0
58,1,3,5,4,2,2,3,5,4,0
59,1,3,5,4,2,2,3,5,4,2
60,1,3,5,4,2,2,3,5,5,4
61,1,3,5,4,2,2,3,5,5,5
62,1,3,5,4,2,2,2,3,5,4
63,1,3,5,4,2,2,2,3,5,5
64,1,3,5,4,2,2,2,2,3,5
65,1,3,5,4,2,2,2,2,2,3
66,1,3,5,4,2,2,2,2,2,2
67,1,3,5,5,4,0,0,0,0,0
68,1,3,5,5,4,2,2,3,5,4
69,1,3,5,5,4,2,2,3,5,5
70,1,3,5,5,4,2,2,2,3,5
71,1,3,5,5,4,2,2,2,2,3
72,1,3,5,5,4,2,2,2,2,2
73,1,3,5,5,5,4,0,0,0,0
74,1,3,5,5,5,4,2,2,3,5
75,1,3,5,5,5,4,2,2,2,3
76,1,3,5,5,5,4,2,2,2,2
77,1,3,5,5,5,5,4,0,0,0
78,1,3,5,5,5,5,4,2,2,3
79,1,3,5,5,5,5,4,2,2,2
80,1,3,5,5,5,5,5,4,0,0
81,1,3,5,5,5,5,5,4,2,2
82,1,3,5,5,5,5,5,5,4,0
83,1,3,5,5,5,5,5,5,4,2
84,1,3,5,5,5,5,5,5,5,4
85,1,3,5,5,5,5,5,5,5,5
86,2,3,5,4,0,0,0,0,0,0
87,2,3,5,4,2,2,3,5,4,0
88,2,3,5,4,2,2,3,5,4,2
89,2,3,5,4,2,2,3,5,5,4
90,2,3,5,4,2,2,3,5,5,5
91,2,3,5,4,2,2,2,3,5,4
92,2,3,5,4,2,2,2,3,5,5
