,0,1,2,3,4,5,6,7,8,9
0,0,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,3
2,0,1,1,1,1,1,1,1,3,3
3,0,1,1,1,1,1,1,3,3,5
4,0,1,1,1,1,1,3,3,5,4
5,0,1,1,1,1,1,3,3,5,5
6,0,1,1,1,1,3,3,5,4,4
7,0,1,1,1,1,3,3,5,5,4
8,0,1,1,1,1,3,3,5,5,5
9,0,1,1,1,1,2,3,3,5,4
10,0,1,1,1,1,2,3,3,5,5
11,0,1,1,1,1,2,0,0,0,0
12,0,1,1,1,1,2,2,3,3,5
13,0,1,1,1,1,2,2,0,0,0
14,0,1,1,1,1,2,2,2,3,3
15,0,1,1,1,1,2,2,2,0,0
16,0,1,1,1,1,2,2,2,2,3
17,0,1,1,1,1,2,2,2,2,0
18,0,1,1,1,1,2,2,2,2,2
19,0,0,1,1,1,1,1,1,1,1
20,0,0,1,1,1,1,1,1,1,3
21,0,0,1,1,1,1,1,1,3,3
22,0,0,1,1,1,1,1,3,3,5
23,0,0,1,1,1,1,3,3,5,4
24,0,0,1,1,1,1,3,3,5,5
25,0,0,1,1,1,1,2,3,3,5
26,0,0,1,1,1,1,2,0,0,0
27,0,0,1,1,1,1,2,2,3,3
28,0,0,1,1,1,1,2,2,0,0
29,0,0,1,1,1,1,2,2,2,3
30,0,0,1,1,1,1,2,2,2,0
31,0,0,1,1,1,1,2,2,2,2
32,0,0,0,1,1,1,1,1,1,1
33,0,0,0,1,1,1,1,1,1,3
34,0,0,0,1,1,1,1,1,3,3
35,0,0,0,1,1,1,1,3,3,5
36,0,0,0,1,1,1,1,2,3,3
37,0,0,0,1,1,1,1,2,0,0
38,0,0,0,1,1,1,1,2,2,3
39,0,0,0,1,1,1,1,2,2,0
40,0,0,0,1,1,1,1,2,2,2
41,0,0,0,0,1,1,1,1,1,1
42,0,0,0,0,1,1,1,1,1,3
43,0,0,0,0,1,1,1,1,3,3
44,0,0,0,0,1,1,1,1,2,3
45,0,0,0,0,1,1,1,1,2,0
46,0,0,0,0,1,1,1,1,2,2
47,0,0,0,0,0,1,1,1,1,1
48,0,0,0,0,0,1,1,1,1,3
49,0,0,0,0,0,1,1,1,1,2
50,0,0,0,0,0,0,1,1,1,1
51,0,0,0,0,0,0,0,1,1,1
52,0,0,0,0,0,0,0,0,1,1
