,0,1,2,3,4
0,0,1,2,3,5
1,0,1,2,3,2
2,0,1,2,0,0
3,0,1,3,5,4
4,0,1,3,5,5
5,0,1,3,2,3
6,0,1,3,2,0
7,0,1,2,2,3
8,0,1,2,2,0
9,0,1,2,2,2
10,0,0,1,2,3
11,0,0,1,2,0
12,0,0,1,3,5
13,0,0,1,3,2
14,0,0,1,2,2
15,0,0,0,1,2
16,0,0,0,1,3
17,0,0,0,0,1
18,0,0,0,0,0
19,1,2,3,5,4
20,1,2,3,5,5
21,1,2,3,2,3
22,1,2,3,2,0
23,1,2,0,0,0
24,1,3,5,4,0
25,1,3,5,4,2
26,1,3,5,5,4
27,1,3,5,5,5
28,1,3,2,3,5
29,1,3,2,3,2
30,1,3,2,0,0
31,2,3,5,4,0
32,2,3,5,4,2
33,2,3,5,5,4
34,2,3,5,5,5
35,2,3,2,3,5
36,2,3,2,3,2
37,2,3,2,0,0
38,2,0,0,0,0
39,3,5,4,0,0
40,3,5,4,2,2
41,3,5,4,2,0
42,3,5,5,4,0
43,3,5,5,4,2
44,3,5,5,5,4
45,3,5,5,5,5
46,3,2,3,5,4
47,3,2,3,5,5
48,3,2,3,2,3
49,3,2,3,2,0
50,3,2,0,0,0
51,4,0,0,0,0
52,4,2,3,5,4
53,4,2,3,5,5
54,4,2,3,2,3
55,4,2,3,2,0
56,4,2,0,0,0
57,4,2,2,3,5
58,4,2,2,3,2
59,4,2,2,0,0
60,4,2,2,2,3
61,4,2,2,2,0
62,4,2,2,2,2
63,5,4,0,0,0
64,5,4,2,2,3
65,5,4,2,2,0
66,5,4,2,0,0
67,5,4,2,2,2
