,0,1,2,3,4
0,0,1,2,2,2
1,0,0,1,2,2
2,0,0,0,1,2
3,0,0,0,1,3
4,0,0,0,0,1
5,0,0,0,0,0
6,1,2,3,5,4
7,1,2,3,5,5
8,1,2,0,0,0
9,1,3,5,4,0
10,1,3,5,4,2
11,1,3,5,5,4
12,1,3,5,5,5
13,1,3,2,3,5
14,1,3,2,0,0
15,2,3,5,4,0
16,2,3,5,4,2
17,2,3,5,5,4
18,2,3,5,5,5
19,2,0,0,0,0
20,3,5,4,0,0
21,3,5,4,2,2
22,3,5,4,2,0
23,3,5,5,4,0
24,3,5,5,4,2
25,3,5,5,5,4
26,3,5,5,5,5
27,3,2,3,5,4
28,3,2,3,5,5
29,3,2,0,0,0
30,4,0,0,0,0
31,4,2,3,5,4
32,4,2,3,5,5
33,4,2,0,0,0
34,4,2,2,3,5
35,4,2,2,0,0
36,4,2,2,2,3
37,4,2,2,2,0
38,4,2,2,2,2
39,5,4,0,0,0
40,5,4,2,2,3
41,5,4,2,2,0
42,5,4,2,0,0
43,5,4,2,2,2
