,0,1,2,3,4
0,0,1,1,1,1
1,0,0,1,1,1
2,0,0,0,1,1
3,0,0,0,0,1
4,0,0,0,0,0
5,1,1,1,1,1
6,1,1,1,1,3
7,1,1,1,1,2
8,2,2,2,2,3
9,2,2,2,2,0
10,2,2,2,0,1
11,2,2,2,0,0
12,2,2,0,1,1
13,2,2,0,0,1
14,2,2,0,0,0
15,2,0,1,1,1
16,2,0,0,1,1
17,2,0,0,0,1
18,2,0,0,0,0
19,2,2,2,2,2
20,3,3,5,4,4
21,3,3,5,5,4
22,3,3,5,5,5
23,3,3,3,5,4
24,3,3,3,5,5
25,3,3,3,3,5
26,3,3,3,3,3
27,4,0,1,1,1
28,4,0,0,1,1
29,4,0,0,0,1
30,4,0,0,0,0
31,4,2,2,2,2
32,4,2,2,2,0
33,4,2,2,0,1
34,4,2,2,0,0
35,4,2,0,1,1
36,4,2,0,0,1
37,4,2,0,0,0
38,5,4,4,0,1
39,5,4,4,0,0
40,5,4,4,2,2
41,5,4,4,2,0
