,0,1,2,3,4
0,5,4,2,3,5
1,4,2,2,2,0
2,2,3,5,5,5
3,4,2,2,2,3
4,5,4,2,0,0
5,4,2,2,0,1
6,5,4,2,2,0
7,5,4,0,0,0
8,3,5,5,4,0
9,4,2,0,0,1
10,5,4,2,2,3
11,4,0,0,0,1
12,2,2,3,5,4
13,3,3,5,4,0
14,0,1,1,1,2
15,2,0,1,1,1
16,2,3,5,5,4
17,2,0,0,0,0
18,3,3,3,3,3
19,2,2,2,3,5
20,4,2,0,1,1
21,2,2,2,2,3
22,2,2,2,0,0
23,4,0,0,1,1
24,5,4,0,1,1
25,5,4,2,0,1
26,2,2,2,2,0
27,2,2,0,0,0
28,3,5,5,5,5
29,3,5,4,0,0
30,3,3,5,5,5
31,5,4,0,0,1
32,2,0,0,0,1
33,3,5,4,2,0
34,2,3,5,4,2
35,3,5,4,2,3
36,2,2,2,0,1
37,2,2,0,1,1
38,3,5,5,5,4
39,3,3,5,5,4
40,2,2,0,0,1
41,2,0,0,1,1
42,3,5,4,0,1
43,1,1,1,2,2
44,0,0,1,1,1
45,0,0,0,0,0
46,3,3,3,5,5
47,4,2,3,5,5
48,4,0,1,1,1
49,4,2,2,2,2
50,0,0,0,1,1
51,2,3,5,4,0
52,0,0,0,0,1
53,5,4,2,2,2
54,3,3,3,5,4
55,3,5,5,4,2
56,4,2,3,5,4
57,3,3,5,4,2
58,4,2,2,0,0
59,1,1,1,2,0
60,1,1,1,2,3
61,3,3,3,3,5
62,4,2,0,0,0
63,2,2,2,2,2
64,4,0,0,0,0
65,4,2,2,3,5
66,3,5,4,2,2
67,2,2,3,5,5
