,0,1,2,3,4
0,0,1,3,5,5
1,0,1,2,2,2
2,0,0,1,3,5
3,0,0,1,2,2
4,0,0,0,1,2
5,0,0,0,1,3
6,0,0,0,0,1
7,0,0,0,0,0
8,1,2,3,5,4
9,1,2,3,5,5
10,1,2,0,0,0
11,1,3,5,4,0
12,1,3,5,4,2
13,1,3,5,5,4
14,1,3,5,5,5
15,1,3,2,3,5
16,1,3,2,0,0
17,2,3,5,4,0
18,2,3,5,4,2
19,2,3,5,5,4
20,2,3,5,5,5
21,2,0,0,0,0
22,3,5,4,0,0
23,3,5,4,2,2
24,3,5,4,2,0
25,3,5,5,4,0
26,3,5,5,4,2
27,3,5,5,5,4
28,3,5,5,5,5
29,3,2,3,5,4
30,3,2,3,5,5
31,3,2,0,0,0
32,4,0,0,0,0
33,4,2,3,5,4
34,4,2,3,5,5
35,4,2,0,0,0
36,4,2,2,3,5
37,4,2,2,0,0
38,4,2,2,2,3
39,4,2,2,2,0
40,4,2,2,2,2
41,5,4,0,0,0
42,5,4,2,2,3
43,5,4,2,2,0
44,5,4,2,0,0
45,5,4,2,2,2
