,0,1,2,3,4
0,0,1,2,3,5
1,0,1,2,0,0
2,0,1,3,5,4
3,0,1,3,5,5
4,0,1,3,2,3
5,0,1,3,2,0
6,0,1,2,2,3
7,0,1,2,2,0
8,0,1,2,2,2
9,0,0,1,2,3
10,0,0,1,2,0
11,0,0,1,3,5
12,0,0,1,3,2
13,0,0,1,2,2
14,0,0,0,1,2
15,0,0,0,1,3
16,0,0,0,0,1
17,0,0,0,0,0
18,1,2,3,5,4
19,1,2,3,5,5
20,1,2,0,0,0
21,1,3,5,4,0
22,1,3,5,4,2
23,1,3,5,5,4
24,1,3,5,5,5
25,1,3,2,3,5
26,1,3,2,0,0
27,2,3,5,4,0
28,2,3,5,4,2
29,2,3,5,5,4
30,2,3,5,5,5
31,2,0,0,0,0
32,3,5,4,0,0
33,3,5,4,2,2
34,3,5,4,2,0
35,3,5,5,4,0
36,3,5,5,4,2
37,3,5,5,5,4
38,3,5,5,5,5
39,3,2,3,5,4
40,3,2,3,5,5
41,3,2,0,0,0
42,4,0,0,0,0
43,4,2,3,5,4
44,4,2,3,5,5
45,4,2,0,0,0
46,4,2,2,3,5
47,4,2,2,0,0
48,4,2,2,2,3
49,4,2,2,2,0
50,4,2,2,2,2
51,5,4,0,0,0
52,5,4,2,2,3
53,5,4,2,2,0
54,5,4,2,0,0
55,5,4,2,2,2
