,0,1,2,3,4,5
0,0,1,1,3,5,4
1,0,1,1,3,5,5
2,0,0,1,1,3,5
3,0,0,0,1,1,3
4,0,0,0,0,1,1
5,0,0,0,0,0,1
6,0,0,0,0,0,0
7,1,1,3,5,4,0
8,1,1,3,5,4,2
9,1,1,3,5,5,4
10,1,1,3,5,5,5
11,2,2,3,5,4,0
12,2,2,3,5,4,2
13,2,2,3,5,5,4
14,2,2,3,5,5,5
15,2,2,2,3,5,4
16,2,2,2,3,5,5
17,2,2,2,2,3,5
18,2,2,2,2,2,3
19,2,2,2,2,2,2
20,3,5,4,0,0,0
21,3,5,4,2,2,2
22,3,5,5,4,0,0
23,3,5,5,4,2,2
24,3,5,5,5,4,0
25,3,5,5,5,4,2
26,3,5,5,5,5,4
27,3,5,5,5,5,5
28,3,2,2,3,5,4
29,3,2,2,3,5,5
30,4,0,0,0,0,0
31,4,2,2,3,5,4
32,4,2,2,3,5,5
33,4,2,2,2,3,5
34,4,2,2,2,2,3
35,4,2,2,2,2,2
36,5,4,0,0,0,0
37,5,4,2,2,2,2
38,5,5,4,0,0,0
39,5,5,4,2,2,2
40,5,5,5,4,0,0
41,5,5,5,4,2,2
42,5,5,5,5,4,0
43,5,5,5,5,4,2
44,5,5,5,5,5,4
45,5,5,5,5,5,5
