,0,1,2,3,4,5
0,0,1,3,5,4,0
1,0,1,3,5,4,2
2,0,1,3,5,5,4
3,0,1,3,5,5,5
4,0,0,1,3,5,4
5,0,0,1,3,5,5
6,0,0,0,1,3,5
7,0,0,0,0,1,3
8,0,0,0,0,0,1
9,0,0,0,0,0,0
10,1,3,5,4,0,0
11,1,3,5,4,2,2
12,1,3,5,5,4,0
13,1,3,5,5,4,2
14,1,3,5,5,5,4
15,1,3,5,5,5,5
16,2,3,5,4,0,0
17,2,3,5,4,2,2
18,2,3,5,5,4,0
19,2,3,5,5,4,2
20,2,3,5,5,5,4
21,2,3,5,5,5,5
22,3,5,4,0,0,0
23,3,5,4,2,2,3
24,3,5,4,2,2,2
25,3,5,5,4,0,0
26,3,5,5,4,2,2
27,3,5,5,5,4,0
28,3,5,5,5,4,2
29,3,5,5,5,5,4
30,3,5,5,5,5,5
31,3,2,3,5,4,0
32,3,2,3,5,4,2
33,3,2,3,5,5,4
34,3,2,3,5,5,5
35,4,0,0,0,0,0
36,4,2,3,5,4,0
37,4,2,3,5,4,2
38,4,2,3,5,5,4
39,4,2,3,5,5,5
40,4,2,2,3,5,4
41,4,2,2,3,5,5
42,4,2,2,2,3,5
43,4,2,2,2,2,3
44,4,2,2,2,2,2
45,5,4,0,0,0,0
46,5,4,2,2,3,5
47,5,4,2,2,2,3
48,5,4,2,2,2,2
