,0,1,2,3,4,5,6,7
0,0,1,3,5,4,0,0,0
1,0,1,3,5,4,2,2,2
2,0,1,3,5,5,4,0,0
3,0,1,3,5,5,4,2,2
4,0,1,3,5,5,5,4,0
5,0,1,3,5,5,5,4,2
6,0,1,3,5,5,5,5,4
7,0,1,3,5,5,5,5,5
8,0,0,1,3,5,4,0,0
9,0,0,1,3,5,4,2,2
10,0,0,1,3,5,5,4,0
11,0,0,1,3,5,5,4,2
12,0,0,1,3,5,5,5,4
13,0,0,1,3,5,5,5,5
14,0,0,0,1,3,5,4,0
15,0,0,0,1,3,5,4,2
16,0,0,0,1,3,5,5,4
17,0,0,0,1,3,5,5,5
18,0,0,0,0,1,3,5,4
19,0,0,0,0,1,3,5,5
20,0,0,0,0,0,1,3,5
21,0,0,0,0,0,0,1,3
22,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0
24,1,3,5,4,0,0,0,0
25,1,3,5,4,2,2,2,3
26,1,3,5,4,2,2,2,2
27,1,3,5,5,4,0,0,0
28,1,3,5,5,4,2,2,2
29,1,3,5,5,5,4,0,0
30,1,3,5,5,5,4,2,2
31,1,3,5,5,5,5,4,0
32,1,3,5,5,5,5,4,2
33,1,3,5,5,5,5,5,4
34,1,3,5,5,5,5,5,5
35,2,3,5,4,0,0,0,0
36,2,3,5,4,2,2,2,3
37,2,3,5,4,2,2,2,2
38,2,3,5,5,4,0,0,0
39,2,3,5,5,4,2,2,2
40,2,3,5,5,5,4,0,0
41,2,3,5,5,5,4,2,2
42,2,3,5,5,5,5,4,0
43,2,3,5,5,5,5,4,2
44,2,3,5,5,5,5,5,4
45,2,3,5,5,5,5,5,5
46,2,2,3,5,4,0,0,0
47,2,2,3,5,4,2,2,2
48,2,2,3,5,5,4,0,0
49,2,2,3,5,5,4,2,2
50,2,2,3,5,5,5,4,0
51,2,2,3,5,5,5,4,2
52,2,2,3,5,5,5,5,4
53,2,2,3,5,5,5,5,5
54,2,2,2,3,5,4,0,0
55,2,2,2,3,5,4,2,2
56,2,2,2,3,5,5,4,0
57,2,2,2,3,5,5,4,2
58,2,2,2,3,5,5,5,4
59,2,2,2,3,5,5,5,5
60,2,2,2,2,3,5,4,0
61,2,2,2,2,3,5,4,2
62,2,2,2,2,3,5,5,4
63,2,2,2,2,3,5,5,5
64,2,2,2,2,2,3,5,4
65,2,2,2,2,2,3,5,5
66,2,2,2,2,2,2,3,5
67,2,2,2,2,2,2,2,3
68,2,2,2,2,2,2,2,2
69,3,5,4,0,0,0,0,0
70,3,5,4,2,2,2,3,5
71,3,5,4,2,2,2,2,3
72,3,5,4,2,2,2,2,2
73,3,5,5,4,0,0,0,0
74,3,5,5,4,2,2,2,3
75,3,5,5,4,2,2,2,2
76,3,5,5,5,4,0,0,0
77,3,5,5,5,4,2,2,2
78,3,5,5,5,5,4,0,0
79,3,5,5,5,5,4,2,2
80,3,5,5,5,5,5,4,0
81,3,5,5,5,5,5,4,2
82,3,5,5,5,5,5,5,4
83,3,5,5,5,5,5,5,5
84,3,2,3,5,4,0,0,0
85,3,2,3,5,4,2,2,2
86,3,2,3,5,5,4,0,0
87,3,2,3,5,5,4,2,2
88,3,2,3,5,5,5,4,0
89,3,2,3,5,5,5,4,2
90,3,2,3,5,5,5,5,4
91,3,2,3,5,5,5,5,5
92,4,0,0,0,0,0,0,0
93,4,2,3,5,4,0,0,0
94,4,2,3,5,4,2,2,2
95,4,2,3,5,5,4,0,0
96,4,2,3,5,5,4,2,2
97,4,2,3,5,5,5,4,0
98,4,2,3,5,5,5,4,2
99,4,2,3,5,5,5,5,4
100,4,2,3,5,5,5,5,5
101,4,2,2,3,5,4,0,0
102,4,2,2,3,5,4,2,2
103,4,2,2,3,5,5,4,0
104,4,2,2,3,5,5,4,2
105,4,2,2,3,5,5,5,4
106,4,2,2,3,5,5,5,5
107,4,2,2,2,3,5,4,0
108,4,2,2,2,3,5,4,2
109,4,2,2,2,3,5,5,4
110,4,2,2,2,3,5,5,5
111,4,2,2,2,2,3,5,4
112,4,2,2,2,2,3,5,5
113,4,2,2,2,2,2,3,5
114,4,2,2,2,2,2,2,3
115,4,2,2,2,2,2,2,2
116,5,4,0,0,0,0,0,0
117,5,4,2,2,2,3,5,4
118,5,4,2,2,2,3,5,5
119,5,4,2,2,2,2,3,5
120,5,4,2,2,2,2,2,3
121,5,4,2,2,2,2,2,2
122,5,5,4,0,0,0,0,0
123,5,5,4,2,2,2,3,5
124,5,5,4,2,2,2,2,3
125,5,5,4,2,2,2,2,2
126,5,5,5,4,0,0,0,0
127,5,5,5,4,2,2,2,3
128,5,5,5,4,2,2,2,2
129,5,5,5,5,4,0,0,0
130,5,5,5,5,4,2,2,2
131,5,5,5,5,5,4,0,0
132,5,5,5,5,5,4,2,2
133,5,5,5,5,5,5,4,0
134,5,5,5,5,5,5,4,2
135,5,5,5,5,5,5,5,4
136,5,5,5,5,5,5,5,5
