,0,1,2,3,4,5,6,7
0,0,1,3,5,4,0,0,0
1,0,1,3,5,4,2,2,3
2,0,1,3,5,4,2,2,2
3,0,1,3,5,5,4,0,0
4,0,1,3,5,5,4,2,2
5,0,1,3,5,5,5,4,0
6,0,1,3,5,5,5,4,2
7,0,1,3,5,5,5,5,4
8,0,1,3,5,5,5,5,5
9,0,0,1,3,5,4,0,0
10,0,0,1,3,5,4,2,2
11,0,0,1,3,5,5,4,0
12,0,0,1,3,5,5,4,2
13,0,0,1,3,5,5,5,4
14,0,0,1,3,5,5,5,5
15,0,0,0,1,3,5,4,0
16,0,0,0,1,3,5,4,2
17,0,0,0,1,3,5,5,4
18,0,0,0,1,3,5,5,5
19,0,0,0,0,1,3,5,4
20,0,0,0,0,1,3,5,5
21,0,0,0,0,0,1,3,5
22,0,0,0,0,0,0,1,3
23,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0
25,1,3,5,4,0,0,0,0
26,1,3,5,4,2,2,3,5
27,1,3,5,4,2,2,2,3
28,1,3,5,4,2,2,2,2
29,1,3,5,5,4,0,0,0
30,1,3,5,5,4,2,2,3
31,1,3,5,5,4,2,2,2
32,1,3,5,5,5,4,0,0
33,1,3,5,5,5,4,2,2
34,1,3,5,5,5,5,4,0
35,1,3,5,5,5,5,4,2
36,1,3,5,5,5,5,5,4
37,1,3,5,5,5,5,5,5
38,2,3,5,4,0,0,0,0
39,2,3,5,4,2,2,3,5
40,2,3,5,4,2,2,2,3
41,2,3,5,4,2,2,2,2
42,2,3,5,5,4,0,0,0
43,2,3,5,5,4,2,2,3
44,2,3,5,5,4,2,2,2
45,2,3,5,5,5,4,0,0
46,2,3,5,5,5,4,2,2
47,2,3,5,5,5,5,4,0
48,2,3,5,5,5,5,4,2
49,2,3,5,5,5,5,5,4
50,2,3,5,5,5,5,5,5
51,3,5,4,0,0,0,0,0
52,3,5,4,2,2,3,5,4
53,3,5,4,2,2,3,5,5
54,3,5,4,2,2,2,3,5
55,3,5,4,2,2,2,2,3
56,3,5,4,2,2,2,2,2
57,3,5,5,4,0,0,0,0
58,3,5,5,4,2,2,3,5
59,3,5,5,4,2,2,2,3
60,3,5,5,4,2,2,2,2
61,3,5,5,5,4,0,0,0
62,3,5,5,5,4,2,2,3
63,3,5,5,5,4,2,2,2
64,3,5,5,5,5,4,0,0
65,3,5,5,5,5,4,2,2
66,3,5,5,5,5,5,4,0
67,3,5,5,5,5,5,4,2
68,3,5,5,5,5,5,5,4
69,3,5,5,5,5,5,5,5
70,3,2,3,5,4,0,0,0
71,3,2,3,5,4,2,2,3
72,3,2,3,5,4,2,2,2
73,3,2,3,5,5,4,0,0
74,3,2,3,5,5,4,2,2
75,3,2,3,5,5,5,4,0
76,3,2,3,5,5,5,4,2
77,3,2,3,5,5,5,5,4
78,3,2,3,5,5,5,5,5
79,4,0,0,0,0,0,0,0
80,4,2,3,5,4,0,0,0
81,4,2,3,5,4,2,2,3
82,4,2,3,5,4,2,2,2
83,4,2,3,5,5,4,0,0
84,4,2,3,5,5,4,2,2
85,4,2,3,5,5,5,4,0
86,4,2,3,5,5,5,4,2
87,4,2,3,5,5,5,5,4
88,4,2,3,5,5,5,5,5
89,4,2,2,3,5,4,0,0
90,4,2,2,3,5,4,2,2
91,4,2,2,3,5,5,4,0
92,4,2,2,3,5,5,4,2
93,4,2,2,3,5,5,5,4
94,4,2,2,3,5,5,5,5
95,4,2,2,2,3,5,4,0
96,4,2,2,2,3,5,4,2
97,4,2,2,2,3,5,5,4
98,4,2,2,2,3,5,5,5
99,4,2,2,2,2,3,5,4
100,4,2,2,2,2,3,5,5
101,4,2,2,2,2,2,3,5
102,4,2,2,2,2,2,2,3
103,4,2,2,2,2,2,2,2
104,5,4,0,0,0,0,0,0
105,5,4,2,2,3,5,4,0
106,5,4,2,2,3,5,4,2
107,5,4,2,2,3,5,5,4
108,5,4,2,2,3,5,5,5
109,5,4,2,2,2,3,5,4
110,5,4,2,2,2,3,5,5
111,5,4,2,2,2,2,3,5
112,5,4,2,2,2,2,2,3
113,5,4,2,2,2,2,2,2
