,0,1,2,3,4,5,6,7
0,0,1,3,5,5,5,5,5
1,0,1,2,2,2,2,2,2
2,0,0,1,3,5,5,5,5
3,0,0,1,2,2,2,2,2
4,0,0,0,1,3,5,5,5
5,0,0,0,1,2,2,2,2
6,0,0,0,0,1,3,5,5
7,0,0,0,0,1,2,2,2
8,0,0,0,0,0,1,3,5
9,0,0,0,0,0,1,2,2
10,0,0,0,0,0,0,1,2
11,0,0,0,0,0,0,1,3
12,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0
14,1,3,5,5,5,5,5,5
15,2,3,5,4,0,0,0,0
16,2,3,5,4,2,2,3,5
17,2,3,5,4,2,2,0,0
18,2,3,5,4,2,0,0,0
19,2,3,5,4,2,2,2,3
20,2,3,5,4,2,2,2,0
21,2,3,5,4,2,2,2,2
22,2,3,5,5,4,0,0,0
23,2,3,5,5,4,2,2,3
24,2,3,5,5,4,2,2,0
25,2,3,5,5,4,2,0,0
26,2,3,5,5,4,2,2,2
27,2,3,5,5,5,4,0,0
28,2,3,5,5,5,4,2,2
29,2,3,5,5,5,4,2,0
30,2,3,5,5,5,5,4,0
31,2,3,5,5,5,5,4,2
32,2,3,5,5,5,5,5,4
33,2,3,5,5,5,5,5,5
34,2,0,0,0,0,0,0,0
35,3,5,4,0,0,0,0,0
36,3,5,4,2,2,3,5,4
37,3,5,4,2,2,3,5,5
38,3,5,4,2,2,0,0,0
39,3,5,4,2,0,0,0,0
40,3,5,4,2,2,2,3,5
41,3,5,4,2,2,2,0,0
42,3,5,4,2,2,2,2,3
43,3,5,4,2,2,2,2,0
44,3,5,4,2,2,2,2,2
45,3,5,5,4,0,0,0,0
46,3,5,5,4,2,2,3,5
47,3,5,5,4,2,2,0,0
48,3,5,5,4,2,0,0,0
49,3,5,5,4,2,2,2,3
50,3,5,5,4,2,2,2,0
51,3,5,5,4,2,2,2,2
52,3,5,5,5,4,0,0,0
53,3,5,5,5,4,2,2,3
54,3,5,5,5,4,2,2,0
55,3,5,5,5,4,2,0,0
56,3,5,5,5,4,2,2,2
57,3,5,5,5,5,4,0,0
58,3,5,5,5,5,4,2,2
59,3,5,5,5,5,4,2,0
60,3,5,5,5,5,5,4,0
61,3,5,5,5,5,5,4,2
62,3,5,5,5,5,5,5,4
63,3,5,5,5,5,5,5,5
64,3,2,3,5,4,0,0,0
65,3,2,3,5,4,2,2,3
66,3,2,3,5,4,2,2,0
67,3,2,3,5,4,2,0,0
68,3,2,3,5,4,2,2,2
69,3,2,3,5,5,4,0,0
70,3,2,3,5,5,4,2,2
71,3,2,3,5,5,4,2,0
72,3,2,3,5,5,5,4,0
73,3,2,3,5,5,5,4,2
74,3,2,3,5,5,5,5,4
75,3,2,3,5,5,5,5,5
76,3,2,0,0,0,0,0,0
77,4,0,0,0,0,0,0,0
78,4,2,3,5,4,0,0,0
79,4,2,3,5,4,2,2,3
80,4,2,3,5,4,2,2,0
81,4,2,3,5,4,2,0,0
82,4,2,3,5,4,2,2,2
83,4,2,3,5,5,4,0,0
84,4,2,3,5,5,4,2,2
85,4,2,3,5,5,4,2,0
86,4,2,3,5,5,5,4,0
87,4,2,3,5,5,5,4,2
88,4,2,3,5,5,5,5,4
89,4,2,3,5,5,5,5,5
90,4,2,0,0,0,0,0,0
91,4,2,2,3,5,4,0,0
92,4,2,2,3,5,4,2,2
93,4,2,2,3,5,4,2,0
94,4,2,2,3,5,5,4,0
95,4,2,2,3,5,5,4,2
96,4,2,2,3,5,5,5,4
97,4,2,2,3,5,5,5,5
98,4,2,2,0,0,0,0,0
99,4,2,2,2,3,5,4,0
100,4,2,2,2,3,5,4,2
101,4,2,2,2,3,5,5,4
102,4,2,2,2,3,5,5,5
103,4,2,2,2,0,0,0,0
104,4,2,2,2,2,3,5,4
105,4,2,2,2,2,3,5,5
106,4,2,2,2,2,0,0,0
107,4,2,2,2,2,2,3,5
108,4,2,2,2,2,2,0,0
109,4,2,2,2,2,2,2,3
110,4,2,2,2,2,2,2,0
111,4,2,2,2,2,2,2,2
112,5,4,0,0,0,0,0,0
113,5,4,2,2,3,5,4,0
114,5,4,2,2,3,5,4,2
115,5,4,2,2,3,5,5,4
116,5,4,2,2,3,5,5,5
117,5,4,2,2,0,0,0,0
118,5,4,2,0,0,0,0,0
119,5,4,2,2,2,3,5,4
120,5,4,2,2,2,3,5,5
121,5,4,2,2,2,0,0,0
122,5,4,2,2,2,2,3,5
123,5,4,2,2,2,2,0,0
124,5,4,2,2,2,2,2,3
125,5,4,2,2,2,2,2,0
126,5,4,2,2,2,2,2,2
