,0,1,2,3,4,5,6,7
0,0,1,2,3,5,4,0,0
1,0,1,2,3,5,4,2,2
2,0,1,2,3,5,4,2,0
3,0,1,2,3,5,5,4,0
4,0,1,2,3,5,5,4,2
5,0,1,2,3,5,5,5,4
6,0,1,2,3,5,5,5,5
7,0,1,2,0,0,0,0,0
8,0,1,3,5,4,0,0,0
9,0,1,3,5,4,2,2,3
10,0,1,3,5,4,2,2,0
11,0,1,3,5,4,2,0,0
12,0,1,3,5,4,2,2,2
13,0,1,3,5,5,4,0,0
14,0,1,3,5,5,4,2,2
15,0,1,3,5,5,4,2,0
16,0,1,3,5,5,5,4,0
17,0,1,3,5,5,5,4,2
18,0,1,3,5,5,5,5,4
19,0,1,3,5,5,5,5,5
20,0,1,3,2,3,5,4,0
21,0,1,3,2,3,5,4,2
22,0,1,3,2,3,5,5,4
23,0,1,3,2,3,5,5,5
24,0,1,3,2,0,0,0,0
25,0,1,2,2,3,5,4,0
26,0,1,2,2,3,5,4,2
27,0,1,2,2,3,5,5,4
28,0,1,2,2,3,5,5,5
29,0,1,2,2,0,0,0,0
30,0,1,2,2,2,3,5,4
31,0,1,2,2,2,3,5,5
32,0,1,2,2,2,0,0,0
33,0,1,2,2,2,2,3,5
34,0,1,2,2,2,2,0,0
35,0,1,2,2,2,2,2,3
36,0,1,2,2,2,2,2,0
37,0,1,2,2,2,2,2,2
38,0,0,1,2,3,5,4,0
39,0,0,1,2,3,5,4,2
40,0,0,1,2,3,5,5,4
41,0,0,1,2,3,5,5,5
42,0,0,1,2,0,0,0,0
43,0,0,1,3,5,4,0,0
44,0,0,1,3,5,4,2,2
45,0,0,1,3,5,4,2,0
46,0,0,1,3,5,5,4,0
47,0,0,1,3,5,5,4,2
48,0,0,1,3,5,5,5,4
49,0,0,1,3,5,5,5,5
50,0,0,1,3,2,3,5,4
51,0,0,1,3,2,3,5,5
52,0,0,1,3,2,0,0,0
53,0,0,1,2,2,3,5,4
54,0,0,1,2,2,3,5,5
55,0,0,1,2,2,0,0,0
56,0,0,1,2,2,2,3,5
57,0,0,1,2,2,2,0,0
58,0,0,1,2,2,2,2,3
59,0,0,1,2,2,2,2,0
60,0,0,1,2,2,2,2,2
61,0,0,0,1,2,3,5,4
62,0,0,0,1,2,3,5,5
63,0,0,0,1,2,0,0,0
64,0,0,0,1,3,5,4,0
65,0,0,0,1,3,5,4,2
66,0,0,0,1,3,5,5,4
67,0,0,0,1,3,5,5,5
68,0,0,0,1,3,2,3,5
69,0,0,0,1,3,2,0,0
70,0,0,0,1,2,2,3,5
71,0,0,0,1,2,2,0,0
72,0,0,0,1,2,2,2,3
73,0,0,0,1,2,2,2,0
74,0,0,0,1,2,2,2,2
75,0,0,0,0,1,2,3,5
76,0,0,0,0,1,2,0,0
77,0,0,0,0,1,3,5,4
78,0,0,0,0,1,3,5,5
79,0,0,0,0,1,3,2,3
80,0,0,0,0,1,3,2,0
81,0,0,0,0,1,2,2,3
82,0,0,0,0,1,2,2,0
83,0,0,0,0,1,2,2,2
84,0,0,0,0,0,1,2,3
85,0,0,0,0,0,1,2,0
86,0,0,0,0,0,1,3,5
87,0,0,0,0,0,1,3,2
88,0,0,0,0,0,1,2,2
89,0,0,0,0,0,0,1,2
90,0,0,0,0,0,0,1,3
91,0,0,0,0,0,0,0,1
92,0,0,0,0,0,0,0,0
93,1,2,3,5,4,0,0,0
94,1,2,3,5,4,2,2,3
95,1,2,3,5,4,2,2,0
96,1,2,3,5,4,2,0,0
97,1,2,3,5,4,2,2,2
98,1,2,3,5,5,4,0,0
99,1,2,3,5,5,4,2,2
100,1,2,3,5,5,4,2,0
101,1,2,3,5,5,5,4,0
102,1,2,3,5,5,5,4,2
103,1,2,3,5,5,5,5,4
104,1,2,3,5,5,5,5,5
105,1,2,0,0,0,0,0,0
106,1,3,5,4,0,0,0,0
107,1,3,5,4,2,2,3,5
108,1,3,5,4,2,2,0,0
109,1,3,5,4,2,0,0,0
110,1,3,5,4,2,2,2,3
111,1,3,5,4,2,2,2,0
112,1,3,5,4,2,2,2,2
113,1,3,5,5,4,0,0,0
114,1,3,5,5,4,2,2,3
115,1,3,5,5,4,2,2,0
116,1,3,5,5,4,2,0,0
117,1,3,5,5,4,2,2,2
118,1,3,5,5,5,4,0,0
119,1,3,5,5,5,4,2,2
120,1,3,5,5,5,4,2,0
121,1,3,5,5,5,5,4,0
122,1,3,5,5,5,5,4,2
123,1,3,5,5,5,5,5,4
124,1,3,5,5,5,5,5,5
125,1,3,2,3,5,4,0,0
126,1,3,2,3,5,4,2,2
127,1,3,2,3,5,4,2,0
128,1,3,2,3,5,5,4,0
129,1,3,2,3,5,5,4,2
130,1,3,2,3,5,5,5,4
131,1,3,2,3,5,5,5,5
132,1,3,2,0,0,0,0,0
133,2,3,5,4,0,0,0,0
134,2,3,5,4,2,2,3,5
135,2,3,5,4,2,2,0,0
136,2,3,5,4,2,0,0,0
137,2,3,5,4,2,2,2,3
138,2,3,5,4,2,2,2,0
139,2,3,5,4,2,2,2,2
140,2,3,5,5,4,0,0,0
141,2,3,5,5,4,2,2,3
142,2,3,5,5,4,2,2,0
143,2,3,5,5,4,2,0,0
144,2,3,5,5,4,2,2,2
145,2,3,5,5,5,4,0,0
146,2,3,5,5,5,4,2,2
147,2,3,5,5,5,4,2,0
148,2,3,5,5,5,5,4,0
149,2,3,5,5,5,5,4,2
150,2,3,5,5,5,5,5,4
151,2,3,5,5,5,5,5,5
152,2,0,0,0,0,0,0,0
153,3,5,4,0,0,0,0,0
154,3,5,4,2,2,3,5,4
155,3,5,4,2,2,3,5,5
156,3,5,4,2,2,0,0,0
157,3,5,4,2,0,0,0,0
158,3,5,4,2,2,2,3,5
159,3,5,4,2,2,2,0,0
160,3,5,4,2,2,2,2,3
161,3,5,4,2,2,2,2,0
162,3,5,4,2,2,2,2,2
163,3,5,5,4,0,0,0,0
164,3,5,5,4,2,2,3,5
165,3,5,5,4,2,2,0,0
166,3,5,5,4,2,0,0,0
167,3,5,5,4,2,2,2,3
168,3,5,5,4,2,2,2,0
169,3,5,5,4,2,2,2,2
170,3,5,5,5,4,0,0,0
171,3,5,5,5,4,2,2,3
172,3,5,5,5,4,2,2,0
173,3,5,5,5,4,2,0,0
174,3,5,5,5,4,2,2,2
175,3,5,5,5,5,4,0,0
176,3,5,5,5,5,4,2,2
177,3,5,5,5,5,4,2,0
178,3,5,5,5,5,5,4,0
179,3,5,5,5,5,5,4,2
180,3,5,5,5,5,5,5,4
181,3,5,5,5,5,5,5,5
182,3,2,3,5,4,0,0,0
183,3,2,3,5,4,2,2,3
184,3,2,3,5,4,2,2,0
185,3,2,3,5,4,2,0,0
