,0,1,2,3,4,5,6,7
0,3,5,4,2,2,0,0,1
1,5,4,2,2,0,0,1,1
2,3,3,3,3,5,5,4,0
3,4,0,0,0,0,1,1,1
4,4,2,2,2,2,3,5,4
5,3,5,5,5,4,2,3,5
6,3,3,5,5,5,5,4,2
7,3,5,5,5,4,2,0,0
8,3,5,5,5,4,2,2,0
9,2,2,0,0,0,0,0,1
10,3,5,5,5,5,4,0,0
11,3,3,3,3,5,4,0,0
12,5,4,2,0,0,0,0,1
13,3,3,3,5,4,2,2,2
14,1,1,1,2,2,3,5,4
15,4,2,3,5,5,4,0,1
16,0,0,0,0,0,0,0,0
17,1,1,1,2,0,1,2,3
18,2,2,0,1,1,1,2,0
19,2,2,3,5,4,2,2,0
20,5,4,2,2,0,0,0,0
21,3,3,3,3,3,5,5,5
22,4,2,3,5,4,2,2,2
23,2,3,5,5,4,0,0,0
24,3,3,3,5,5,4,2,3
25,2,2,2,2,0,0,1,1
26,3,3,3,5,5,5,5,4
27,4,2,2,3,5,4,0,0
28,4,2,2,3,5,4,2,0
29,4,2,2,2,0,0,0,1
30,4,2,2,2,3,5,5,5
31,4,2,2,2,2,0,1,1
32,3,5,5,4,2,3,5,5
33,2,2,2,2,3,5,4,0
34,4,2,3,5,4,2,0,1
35,3,3,5,4,2,0,0,1
36,0,0,1,1,1,2,0,0
37,2,2,2,3,5,4,2,2
38,1,1,1,2,0,0,1,2
39,4,2,3,5,5,5,5,4
40,3,5,4,2,0,0,0,0
41,3,5,4,0,0,1,1,1
42,0,1,1,1,2,2,0,0
43,0,1,1,1,2,2,2,0
44,3,5,5,4,2,0,0,0
45,3,3,5,4,0,1,1,1
46,4,2,2,2,2,0,0,0
47,2,0,0,0,1,1,1,2
48,5,4,2,2,2,0,0,1
49,2,2,2,3,5,4,0,1
50,2,3,5,4,2,2,2,2
51,4,2,2,2,2,2,2,3
52,1,1,1,2,2,2,3,5
53,3,3,3,3,3,3,5,5
54,1,1,1,2,2,2,0,0
55,3,3,5,5,5,5,5,4
56,2,0,0,1,1,1,2,2
57,2,3,5,5,5,5,4,2
58,5,4,2,2,3,5,4,0
59,1,1,1,2,3,5,5,4
60,1,1,1,2,2,0,0,1
61,2,2,2,0,0,0,0,1
62,3,5,5,5,5,5,5,5
63,4,2,0,0,0,0,0,0
64,0,0,0,1,1,1,2,2
65,0,0,1,1,1,2,3,5
66,3,5,4,2,2,2,2,2
67,2,3,5,4,2,2,0,1
68,1,1,1,2,0,1,2,0
69,3,5,5,4,0,0,1,1
70,3,5,5,5,5,4,2,2
71,2,2,2,2,2,2,3,5
72,3,3,3,5,5,4,2,0
73,2,2,2,2,2,2,0,0
74,2,3,5,5,4,2,3,5
75,3,3,5,4,0,0,0,0
76,2,2,2,2,2,2,2,0
77,2,2,2,3,5,5,5,5
78,3,3,3,3,5,4,2,2
79,3,5,4,0,0,0,1,1
80,4,2,2,2,3,5,4,0
81,3,5,4,2,2,2,0,1
82,4,2,0,1,1,1,2,2
83,3,3,3,3,5,5,5,5
84,3,5,5,5,5,4,0,1
85,3,3,5,5,4,0,0,0
86,0,1,1,1,2,0,1,2
87,3,3,3,3,5,4,0,1
88,2,3,5,4,0,0,0,0
89,2,3,5,4,2,3,5,5
90,5,4,2,3,5,4,0,0
91,5,4,2,2,2,2,2,2
92,3,3,5,5,4,0,1,1
93,2,2,3,5,4,0,0,0
94,4,2,2,0,0,0,0,0
95,0,1,1,1,2,0,0,0
96,3,3,5,4,2,2,2,2
97,1,1,1,2,0,0,0,0
98,5,4,2,2,0,1,1,1
99,2,3,5,5,5,5,5,4
100,2,3,5,5,4,0,0,1
101,4,2,2,2,2,2,3,5
102,4,2,2,2,2,2,0,0
103,0,0,1,1,1,2,2,2
104,5,4,2,2,2,2,0,1
105,4,2,2,2,2,2,2,0
106,2,2,3,5,5,5,5,5
107,3,3,3,3,3,5,4,2
108,4,0,0,1,1,1,2,2
109,2,2,2,0,0,1,1,1
110,3,3,5,4,2,2,0,1
111,3,3,5,5,4,2,2,3
112,1,1,1,2,3,5,4,2
113,0,1,1,1,2,3,5,5
114,2,0,0,0,0,0,0,1
115,2,2,2,2,2,3,5,5
116,0,0,1,1,1,2,0,1
117,2,2,2,2,3,5,5,5
118,5,4,0,0,0,0,0,1
119,3,5,5,4,2,2,3,5
120,1,1,1,2,2,2,2,2
121,2,0,1,1,1,2,2,3
122,2,2,3,5,5,5,4,0
123,4,2,2,2,2,3,5,5
124,3,5,5,4,2,0,0,1
125,4,2,2,2,2,0,0,1
126,4,0,0,0,0,0,1,1
127,0,0,0,0,1,1,1,2
128,4,2,2,3,5,5,5,5
129,1,1,1,2,2,2,0,1
130,2,2,3,5,5,4,2,0
131,5,4,2,3,5,5,4,2
132,5,4,0,1,1,1,2,3
133,3,5,5,5,4,0,0,1
134,3,5,4,2,3,5,4,0
135,3,3,5,5,5,4,0,0
136,3,3,5,5,5,4,2,0
137,4,2,0,0,0,0,0,1
138,2,3,5,5,5,4,2,2
139,5,4,2,2,2,3,5,4
140,2,2,3,5,4,2,3,5
141,2,2,3,5,4,2,0,0
142,4,0,1,1,1,2,3,5
143,3,3,3,5,4,0,0,0
144,4,0,1,1,1,2,0,0
145,4,0,1,1,1,2,2,0
146,4,2,2,3,5,5,4,0
147,3,3,3,5,4,0,1,1
148,2,2,2,2,2,2,0,1
149,4,0,0,0,0,0,0,0
150,5,4,0,0,1,1,1,2
151,5,4,2,3,5,4,2,2
152,3,5,5,4,2,2,2,2
153,2,2,2,3,5,5,4,2
154,3,3,5,5,4,2,3,5
155,2,0,0,0,0,1,1,1
156,3,5,4,0,1,1,1,2
157,3,3,5,5,4,2,0,0
158,3,3,5,5,4,2,2,0
159,4,2,3,5,4,0,1,1
160,4,2,3,5,5,4,2,3
161,2,3,5,4,2,0,1,1
162,2,3,5,5,4,2,2,2
163,5,4,2,2,3,5,5,5
164,2,3,5,4,0,0,0,1
165,5,4,2,3,5,4,0,1
166,2,0,1,1,1,2,0,0
167,2,0,1,1,1,2,2,0
168,3,5,5,4,2,2,0,1
169,2,2,3,5,4,0,0,1
170,3,3,3,5,4,2,2,3
171,0,1,1,1,2,0,0,1
172,2,3,5,5,4,2,0,1
173,3,3,3,3,3,5,5,4
174,2,2,0,0,0,0,1,1
175,5,4,2,3,5,5,5,4
176,4,2,3,5,4,2,2,3
177,4,2,2,2,3,5,5,4
178,5,4,2,0,1,1,1,2
179,2,3,5,4,2,0,0,0
180,5,4,0,1,1,1,2,0
181,5,4,2,0,0,0,1,1
182,2,2,3,5,5,4,2,2
183,3,5,5,4,0,0,0,0
184,3,5,5,5,5,5,4,2
185,3,3,3,5,5,5,4,0
186,5,4,2,0,0,1,1,1
187,3,3,3,3,5,5,4,2
188,2,2,2,3,5,4,2,3
189,2,0,1,1,1,2,3,5
190,4,2,2,2,0,1,1,1
191,2,2,2,2,0,0,0,0
192,3,5,5,5,4,2,2,2
193,0,1,1,1,2,2,3,5
194,3,3,3,5,5,4,0,0
195,3,5,4,2,2,0,1,1
196,4,2,3,5,5,5,4,0
197,2,2,2,2,2,0,0,1
198,5,4,2,0,0,0,0,0
199,2,2,3,5,5,4,0,1
200,3,3,3,3,3,3,5,4
201,2,2,0,1,1,1,2,2
202,4,2,2,2,0,0,1,1
203,2,2,2,0,1,1,1,2
204,2,2,3,5,4,2,2,2
205,2,2,2,0,0,0,1,1
206,4,2,3,5,5,4,0,0
207,4,2,3,5,5,4,2,0
208,3,5,5,5,4,2,0,1
209,2,3,5,4,2,2,2,3
210,2,2,0,0,0,1,1,1
211,3,3,5,5,5,5,4,0
212,3,5,5,5,5,5,5,4
213,2,0,0,1,1,1,2,3
214,3,3,5,5,5,4,0,1
215,3,3,3,5,4,2,3,5
216,3,3,3,5,4,2,0,0
217,4,2,2,3,5,4,2,2
218,0,0,0,0,0,0,0,1
219,3,3,3,5,4,2,2,0
220,3,5,4,2,2,3,5,4
221,0,0,0,1,1,1,2,3
222,2,2,3,5,4,2,0,1
223,3,5,4,2,2,2,2,3
224,4,0,1,1,1,2,0,1
225,4,2,2,2,0,0,0,0
226,5,4,2,2,0,0,0,1
227,2,2,2,2,3,5,4,2
228,3,5,4,0,0,0,0,0
229,5,4,2,2,2,0,1,1
230,2,2,2,3,5,5,5,4
231,4,2,3,5,4,2,3,5
232,4,2,3,5,4,2,0,0
233,4,2,3,5,4,2,2,0
234,3,5,5,5,5,4,2,3
235,4,2,2,3,5,4,0,1
236,3,3,3,3,5,4,2,3
237,3,3,5,4,2,0,1,1
238,0,1,1,1,2,2,2,2
239,3,3,3,3,5,5,5,4
240,4,2,2,0,0,1,1,1
241,2,3,5,4,2,3,5,4
242,4,2,0,1,1,1,2,3
243,5,4,2,2,2,0,0,0
244,2,2,2,3,5,4,2,0
