,0,1,2,3,4,5,6,7
0,0,1,3,5,5,5,5,5
1,0,1,2,2,2,2,2,2
2,0,0,1,3,5,5,5,5
3,0,0,1,2,2,2,2,2
4,0,0,0,1,3,5,5,5
5,0,0,0,1,2,2,2,2
6,0,0,0,0,1,3,5,5
7,0,0,0,0,1,2,2,2
8,0,0,0,0,0,1,3,5
9,0,0,0,0,0,1,2,2
10,0,0,0,0,0,0,1,2
11,0,0,0,0,0,0,1,3
12,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0
14,1,2,3,5,4,0,0,0
15,1,2,3,5,4,2,2,3
16,1,2,3,5,4,2,2,0
17,1,2,3,5,4,2,0,0
18,1,2,3,5,4,2,2,2
19,1,2,3,5,5,4,0,0
20,1,2,3,5,5,4,2,2
21,1,2,3,5,5,4,2,0
22,1,2,3,5,5,5,4,0
23,1,2,3,5,5,5,4,2
24,1,2,3,5,5,5,5,4
25,1,2,3,5,5,5,5,5
26,1,2,0,0,0,0,0,0
27,1,3,5,4,0,0,0,0
28,1,3,5,4,2,2,3,5
29,1,3,5,4,2,2,0,0
30,1,3,5,4,2,0,0,0
31,1,3,5,4,2,2,2,3
32,1,3,5,4,2,2,2,0
33,1,3,5,4,2,2,2,2
34,1,3,5,5,4,0,0,0
35,1,3,5,5,4,2,2,3
36,1,3,5,5,4,2,2,0
37,1,3,5,5,4,2,0,0
38,1,3,5,5,4,2,2,2
39,1,3,5,5,5,4,0,0
40,1,3,5,5,5,4,2,2
41,1,3,5,5,5,4,2,0
42,1,3,5,5,5,5,4,0
43,1,3,5,5,5,5,4,2
44,1,3,5,5,5,5,5,4
45,1,3,5,5,5,5,5,5
46,1,3,2,3,5,4,0,0
47,1,3,2,3,5,4,2,2
48,1,3,2,3,5,4,2,0
49,1,3,2,3,5,5,4,0
50,1,3,2,3,5,5,4,2
51,1,3,2,3,5,5,5,4
52,1,3,2,3,5,5,5,5
53,1,3,2,0,0,0,0,0
54,2,3,5,4,0,0,0,0
55,2,3,5,4,2,2,3,5
56,2,3,5,4,2,2,0,0
57,2,3,5,4,2,0,0,0
58,2,3,5,4,2,2,2,3
59,2,3,5,4,2,2,2,0
60,2,3,5,4,2,2,2,2
61,2,3,5,5,4,0,0,0
62,2,3,5,5,4,2,2,3
63,2,3,5,5,4,2,2,0
64,2,3,5,5,4,2,0,0
65,2,3,5,5,4,2,2,2
66,2,3,5,5,5,4,0,0
