,0,1,2,3,4,5,6,7
0,0,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,3
2,0,1,1,1,1,1,3,3
3,0,1,1,1,1,3,3,5
4,0,1,1,1,1,2,3,3
5,0,1,1,1,1,2,0,0
6,0,1,1,1,1,2,2,3
7,0,1,1,1,1,2,2,0
8,0,1,1,1,1,2,2,2
9,0,0,1,1,1,1,1,1
10,0,0,1,1,1,1,1,3
11,0,0,1,1,1,1,3,3
12,0,0,1,1,1,1,2,3
13,0,0,1,1,1,1,2,0
14,0,0,1,1,1,1,2,2
15,0,0,0,1,1,1,1,1
16,0,0,0,1,1,1,1,3
17,0,0,0,1,1,1,1,2
18,0,0,0,0,1,1,1,1
19,0,0,0,0,0,1,1,1
20,0,0,0,0,0,0,1,1
21,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0
23,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,3
25,1,1,1,1,1,1,3,3
26,1,1,1,1,1,3,3,5
27,1,1,1,1,3,3,5,4
28,1,1,1,1,3,3,5,5
29,1,1,1,1,2,3,3,5
30,1,1,1,1,2,0,0,0
31,1,1,1,1,2,2,3,3
32,1,1,1,1,2,2,0,0
33,1,1,1,1,2,2,2,3
34,1,1,1,1,2,2,2,0
35,1,1,1,1,2,2,2,2
36,2,2,2,2,3,3,5,4
37,2,2,2,2,3,3,5,5
38,2,2,2,2,0,0,0,0
39,2,2,2,0,0,0,0,0
40,2,2,0,0,0,0,0,0
41,2,0,0,0,0,0,0,0
42,2,2,2,2,2,3,3,5
43,2,2,2,2,2,0,0,0
44,2,2,2,2,2,2,3,3
45,2,2,2,2,2,2,0,0
46,2,2,2,2,2,2,2,3
47,2,2,2,2,2,2,2,0
48,2,2,2,2,2,2,2,2
49,3,3,5,4,4,0,0,0
50,3,3,5,4,4,2,2,2
51,3,3,5,4,4,2,2,0
52,3,3,5,4,4,2,0,0
53,3,3,5,5,4,4,0,0
54,3,3,5,5,4,4,2,2
55,3,3,5,5,4,4,2,0
56,3,3,5,5,5,4,4,0
57,3,3,5,5,5,4,4,2
58,3,3,5,5,5,5,4,4
59,3,3,5,5,5,5,5,4
60,3,3,5,5,5,5,5,5
61,3,3,3,5,4,4,0,0
62,3,3,3,5,4,4,2,2
63,3,3,3,5,4,4,2,0
64,3,3,3,5,5,4,4,0
65,3,3,3,5,5,4,4,2
66,3,3,3,5,5,5,4,4
67,3,3,3,5,5,5,5,4
68,3,3,3,5,5,5,5,5
69,3,3,3,3,5,4,4,0
70,3,3,3,3,5,4,4,2
71,3,3,3,3,5,5,4,4
72,3,3,3,3,5,5,5,4
73,3,3,3,3,5,5,5,5
74,3,3,3,3,3,5,4,4
75,3,3,3,3,3,5,5,4
76,3,3,3,3,3,5,5,5
77,3,3,3,3,3,3,5,4
78,3,3,3,3,3,3,5,5
79,3,3,3,3,3,3,3,5
80,3,3,3,3,3,3,3,3
81,4,0,0,0,0,0,0,0
82,4,2,2,2,2,3,3,5
83,4,2,2,2,2,0,0,0
84,4,2,2,2,0,0,0,0
85,4,2,2,0,0,0,0,0
86,4,2,0,0,0,0,0,0
87,4,2,2,2,2,2,3,3
88,4,2,2,2,2,2,0,0
89,4,2,2,2,2,2,2,3
90,4,2,2,2,2,2,2,0
91,4,2,2,2,2,2,2,2
92,5,4,4,0,0,0,0,0
93,5,4,4,2,2,2,2,3
94,5,4,4,2,2,2,2,0
95,5,4,4,2,2,2,0,0
96,5,4,4,2,2,0,0,0
97,5,4,4,2,0,0,0,0
98,5,4,4,2,2,2,2,2
