,0,1,2,3,4,5,6,7
0,0,1,2,2,2,2,2,2
1,0,0,1,2,2,2,2,2
2,0,0,0,1,2,2,2,2
3,0,0,0,0,1,2,2,2
4,0,0,0,0,0,1,2,2
5,0,0,0,0,0,0,1,2
6,0,0,0,0,0,0,1,3
7,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0
9,1,2,3,5,4,0,0,0
10,1,2,3,5,4,2,2,3
11,1,2,3,5,4,2,2,0
12,1,2,3,5,4,2,0,0
13,1,2,3,5,4,2,2,2
14,1,2,3,5,5,4,0,0
15,1,2,3,5,5,4,2,2
16,1,2,3,5,5,4,2,0
17,1,2,3,5,5,5,4,0
18,1,2,3,5,5,5,4,2
19,1,2,3,5,5,5,5,4
20,1,2,3,5,5,5,5,5
21,1,2,0,0,0,0,0,0
22,1,3,5,4,0,0,0,0
23,1,3,5,4,2,2,3,5
24,1,3,5,4,2,2,0,0
25,1,3,5,4,2,0,0,0
26,1,3,5,4,2,2,2,3
27,1,3,5,4,2,2,2,0
28,1,3,5,4,2,2,2,2
29,1,3,5,5,4,0,0,0
30,1,3,5,5,4,2,2,3
31,1,3,5,5,4,2,2,0
32,1,3,5,5,4,2,0,0
33,1,3,5,5,4,2,2,2
34,1,3,5,5,5,4,0,0
35,1,3,5,5,5,4,2,2
36,1,3,5,5,5,4,2,0
37,1,3,5,5,5,5,4,0
38,1,3,5,5,5,5,4,2
39,1,3,5,5,5,5,5,4
40,1,3,5,5,5,5,5,5
41,1,3,2,3,5,4,0,0
42,1,3,2,3,5,4,2,2
43,1,3,2,3,5,4,2,0
44,1,3,2,3,5,5,4,0
45,1,3,2,3,5,5,4,2
46,1,3,2,3,5,5,5,4
47,1,3,2,3,5,5,5,5
48,1,3,2,0,0,0,0,0
49,2,3,5,4,0,0,0,0
50,2,3,5,4,2,2,3,5
51,2,3,5,4,2,2,0,0
52,2,3,5,4,2,0,0,0
53,2,3,5,4,2,2,2,3
54,2,3,5,4,2,2,2,0
55,2,3,5,4,2,2,2,2
56,2,3,5,5,4,0,0,0
57,2,3,5,5,4,2,2,3
58,2,3,5,5,4,2,2,0
59,2,3,5,5,4,2,0,0
60,2,3,5,5,4,2,2,2
61,2,3,5,5,5,4,0,0
62,2,3,5,5,5,4,2,2
63,2,3,5,5,5,4,2,0
64,2,3,5,5,5,5,4,0
65,2,3,5,5,5,5,4,2
66,2,3,5,5,5,5,5,4
67,2,3,5,5,5,5,5,5
68,2,0,0,0,0,0,0,0
69,3,5,4,0,0,0,0,0
70,3,5,4,2,2,3,5,4
71,3,5,4,2,2,3,5,5
72,3,5,4,2,2,0,0,0
73,3,5,4,2,0,0,0,0
74,3,5,4,2,2,2,3,5
75,3,5,4,2,2,2,0,0
76,3,5,4,2,2,2,2,3
77,3,5,4,2,2,2,2,0
78,3,5,4,2,2,2,2,2
79,3,5,5,4,0,0,0,0
80,3,5,5,4,2,2,3,5
81,3,5,5,4,2,2,0,0
82,3,5,5,4,2,0,0,0
83,3,5,5,4,2,2,2,3
84,3,5,5,4,2,2,2,0
85,3,5,5,4,2,2,2,2
86,3,5,5,5,4,0,0,0
87,3,5,5,5,4,2,2,3
88,3,5,5,5,4,2,2,0
89,3,5,5,5,4,2,0,0
90,3,5,5,5,4,2,2,2
91,3,5,5,5,5,4,0,0
92,3,5,5,5,5,4,2,2
93,3,5,5,5,5,4,2,0
94,3,5,5,5,5,5,4,0
95,3,5,5,5,5,5,4,2
96,3,5,5,5,5,5,5,4
97,3,5,5,5,5,5,5,5
98,3,2,3,5,4,0,0,0
99,3,2,3,5,4,2,2,3
100,3,2,3,5,4,2,2,0
101,3,2,3,5,4,2,0,0
102,3,2,3,5,4,2,2,2
103,3,2,3,5,5,4,0,0
104,3,2,3,5,5,4,2,2
105,3,2,3,5,5,4,2,0
106,3,2,3,5,5,5,4,0
107,3,2,3,5,5,5,4,2
108,3,2,3,5,5,5,5,4
109,3,2,3,5,5,5,5,5
110,3,2,0,0,0,0,0,0
111,4,0,0,0,0,0,0,0
112,4,2,3,5,4,0,0,0
113,4,2,3,5,4,2,2,3
114,4,2,3,5,4,2,2,0
