,0,1,2,3,4,5,6,7,8,9
0,2,0,0,0,1,1,2,2,0,1
1,0,0,0,3,3,0,1,2,1,2
2,0,1,2,2,0,1,2,1,2,1
3,0,0,1,2,0,1,0,1,2,1
4,0,0,1,1,2,0,3,0,3,0
5,2,0,1,2,1,0,0,1,0,3
6,1,2,2,1,2,1,1,0,3,3
7,2,0,1,1,1,0,0,0,1,2
8,2,0,0,0,3,0,1,0,3,3
9,2,0,0,0,1,1,1,1,1,0
10,0,0,1,1,0,0,0,1,0,3
11,2,1,2,1,0,3,3,3,0,1
12,1,0,0,1,2,0,3,0,0,1
13,0,3,0,1,1,2,2,0,1,2
14,1,0,1,2,1,0,3,0,1,1
15,1,2,1,2,0,3,0,0,0,1
16,2,0,1,2,0,3,3,3,3,0
17,3,0,1,2,0,3,0,0,3,0
18,0,0,3,0,1,2,1,1,2,1
19,2,1,0,0,0,1,2,1,1,2
20,0,1,1,1,1,1,0,1,0,3
21,1,2,1,0,1,0,3,3,0,0
22,2,1,0,3,0,1,0,1,0,0
23,3,0,0,0,1,1,1,2,1,1
24,0,1,2,2,0,3,0,3,3,0
25,0,1,0,1,2,1,2,0,0,0
26,3,0,0,0,0,0,1,1,1,2
27,2,1,1,2,0,1,0,1,0,3
28,0,0,1,0,0,1,1,0,1,1
29,2,1,2,0,0,3,0,1,1,2
30,1,2,1,1,1,2,0,0,0,3
31,3,0,1,1,0,0,0,1,0,1
32,3,0,0,1,2,1,0,0,1,2
33,0,1,2,0,0,0,0,3,3,0
34,3,0,0,1,2,0,3,0,1,2
35,2,1,0,1,2,2,2,2,2,0
36,2,0,3,3,3,0,0,0,3,3
37,1,0,0,1,2,2,1,1,1,1
38,0,1,1,1,2,1,2,0,1,0
39,3,0,0,0,0,3,0,1,2,0
40,0,1,2,1,2,2,2,2,0,0
41,2,1,0,3,3,3,3,3,3,3
42,2,1,1,0,1,1,0,3,3,0
43,3,0,1,0,0,3,0,1,2,1
44,0,0,3,0,0,3,0,0,3,0
45,3,0,0,0,1,0,1,2,1,0
46,2,1,2,1,1,1,1,2,0,1
47,2,0,1,1,2,2,1,1,2,1
48,1,0,0,3,3,3,0,1,2,1
49,0,0,3,0,1,1,0,1,0,0
50,3,0,0,3,3,3,3,3,0,1
51,0,3,0,1,0,3,3,0,3,0
52,0,1,2,1,2,1,2,2,1,2
53,0,1,0,3,3,3,0,1,0,0
54,2,1,0,0,0,1,0,1,2,0
55,1,2,1,2,2,2,1,2,1,1
56,2,1,1,0,1,1,2,2,2,1
57,2,0,0,1,2,0,0,0,1,1
58,1,0,1,0,0,0,1,2,1,0
59,1,0,1,1,0,1,1,2,1,0
60,2,1,2,1,1,0,0,3,0,3
61,0,0,1,0,3,3,0,0,1,1
62,1,0,0,0,0,0,1,2,1,0
63,2,0,0,0,1,2,1,2,1,0
64,2,1,2,1,1,1,2,1,0,0
65,0,1,2,2,1,2,1,1,2,1
66,1,2,2,0,1,1,1,1,0,0
67,3,0,1,1,1,1,0,0,0,0
68,3,0,1,1,1,0,1,0,0,3
69,0,0,0,3,0,0,1,0,0,1
70,0,3,0,0,3,0,0,3,0,0
71,2,0,0,0,1,0,1,2,2,2
72,1,2,0,1,0,3,3,0,0,1
73,1,2,0,1,1,0,0,0,0,3
74,3,0,0,1,0,1,1,0,1,2
75,2,0,0,1,0,3,0,0,1,1
76,1,2,2,0,3,0,0,0,1,2
77,1,2,2,0,3,3,0,1,0,3
78,0,3,3,3,0,0,1,2,1,0
79,2,1,2,2,0,1,2,1,1,2
80,0,1,1,0,1,2,0,1,1,1
81,2,0,3,3,0,0,0,1,0,0
82,2,0,3,3,0,1,2,0,1,2
83,0,0,1,0,3,3,3,0,0,3
84,1,2,0,3,3,0,1,0,1,1
85,3,0,3,3,0,1,1,1,2,2
