,0,1,2,3,4,5,6,7,8,9
0,2,1,2,2,1,1,2,1,0,0
1,0,1,0,1,1,1,2,1,2,0
2,1,2,1,1,1,1,2,1,1,1
3,2,0,1,0,1,2,1,1,2,2
4,1,0,1,0,0,1,0,1,1,0
5,0,1,0,1,2,2,2,1,2,1
6,1,2,1,0,1,1,2,1,0,1
7,0,0,0,1,1,1,1,1,2,1
8,2,1,0,0,1,2,1,0,1,0
9,2,1,2,0,1,2,1,2,2,2
10,2,1,2,2,1,2,1,1,1,0
11,1,0,0,0,0,1,2,1,1,0
12,2,0,0,1,1,2,1,1,2,2
13,3,0,0,1,0,1,1,0,1,2
14,1,2,1,2,1,2,2,2,1,0
15,0,1,1,0,1,1,1,2,2,0
16,1,0,1,2,0,0,0,1,1,1
17,2,1,1,1,1,1,1,0,0,1
18,0,1,0,1,0,0,1,2,2,0
19,1,2,1,1,2,0,1,2,2,2
20,0,0,0,0,0,0,1,1,1,1
21,0,1,2,2,2,2,0,0,0,0
22,1,2,1,1,0,0,1,2,1,1
23,2,1,2,0,0,1,0,1,1,1
24,2,1,2,2,1,2,2,0,1,2
25,3,0,1,2,1,0,1,1,0,0
26,1,0,0,1,1,1,1,1,1,0
27,1,0,0,1,2,1,1,1,1,1
28,0,1,0,1,0,0,0,1,0,1
29,1,0,1,2,2,2,1,1,2,1
30,3,0,0,1,1,0,1,1,1,0
31,2,1,1,0,1,2,2,0,1,0
32,0,1,0,0,0,1,1,1,1,1
33,1,2,1,0,0,1,1,1,2,0
34,1,0,0,0,0,1,0,1,1,2
35,2,0,1,2,0,1,1,1,1,0
36,0,1,2,0,0,1,0,0,1,2
37,2,1,2,2,1,1,1,2,2,2
38,1,0,0,1,0,1,1,0,0,1
39,2,1,2,1,1,1,2,0,1,2
40,3,0,1,1,2,2,0,1,0,0
41,1,2,1,2,1,2,2,0,1,0
42,2,1,2,1,0,1,1,2,1,2
43,2,1,0,1,0,0,0,1,2,1
44,0,1,0,1,1,1,0,0,0,0
45,2,1,1,0,1,1,1,2,0,0
46,1,2,1,0,0,1,0,0,1,1
47,3,0,0,1,1,1,0,0,0,0
48,1,2,0,1,0,0,0,1,1,0
49,3,0,1,2,0,0,0,1,2,0
50,0,1,2,2,1,2,0,0,1,0
51,3,0,1,2,0,1,0,1,1,1
