,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,1,0,0
1,2,1,2,2,1,1,2,1,0,0
2,0,1,2,1,2,2,1,2,1,1
3,1,2,2,0,0,0,1,2,2,2
4,2,0,0,0,0,0,0,0,0,1
5,1,2,1,1,1,1,2,1,1,1
6,1,2,2,2,2,1,1,1,2,1
7,2,1,2,1,0,0,0,1,2,2
8,0,0,1,1,1,2,2,1,1,2
9,0,0,0,1,1,1,1,1,2,1
10,2,1,1,1,1,0,0,0,1,0
11,2,1,1,1,1,1,2,2,1,2
12,0,0,0,1,2,1,1,2,1,2
13,2,1,2,2,1,2,1,1,1,0
14,0,1,2,1,1,2,1,2,1,0
15,1,0,0,0,1,0,0,0,1,2
16,1,0,0,0,0,1,2,1,1,0
17,0,0,0,0,0,0,1,2,2,0
18,1,2,1,2,1,2,2,2,1,0
19,2,0,0,0,1,2,0,0,0,0
20,1,2,2,1,1,2,1,1,1,2
21,0,1,2,2,2,2,0,0,0,0
22,0,0,0,0,0,0,1,1,1,1
23,0,0,1,2,2,1,1,1,2,2
24,2,1,2,1,1,1,2,2,2,1
25,2,1,2,2,2,2,2,0,0,0
26,0,1,1,2,2,1,2,1,1,1
27,2,1,0,0,0,0,1,1,1,1
28,1,0,0,0,1,2,0,0,0,0
29,0,1,0,0,0,1,1,1,1,1
30,0,0,0,0,1,1,1,1,1,2
31,1,2,1,1,1,1,1,1,2,0
32,1,0,0,0,0,1,1,1,1,0
33,0,1,2,2,1,2,2,2,1,1
34,2,1,2,2,1,1,1,2,2,2
35,2,1,2,1,1,2,1,2,1,2
36,1,2,1,2,1,1,2,2,0,0
37,2,0,0,0,0,0,0,0,1,2
38,2,1,2,2,1,2,2,2,2,0
39,2,1,2,2,2,2,2,1,2,2
40,1,2,1,1,2,1,2,1,2,1
41,0,0,1,2,1,2,2,2,2,1
42,0,0,0,0,1,1,1,2,0,0
43,0,1,2,2,1,1,1,1,1,0
44,0,1,1,1,2,2,2,1,2,2
45,1,0,0,0,1,2,2,2,1,2
46,2,1,1,2,2,2,2,1,1,2
47,2,1,1,2,2,1,2,2,1,1
48,1,2,1,1,2,2,1,1,1,2
49,1,2,2,2,0,0,0,0,0,1
50,1,2,2,2,2,1,1,2,2,0
51,2,1,0,0,0,0,1,2,0,0
52,0,1,2,1,2,2,0,0,0,0
53,0,1,1,1,1,1,2,2,2,0
54,2,1,1,2,1,2,2,1,1,1
55,0,1,1,2,1,2,2,1,0,0
56,0,0,0,1,1,2,0,0,0,1
57,0,1,1,2,2,1,1,2,1,1
58,0,0,1,2,1,1,1,1,1,2
59,1,2,2,1,2,2,2,1,2,0
60,2,1,2,1,2,1,1,2,1,1
61,1,0,0,0,0,0,1,1,1,1
62,1,2,1,1,1,1,2,1,2,1
63,2,0,0,0,1,1,1,1,0,0
64,0,0,1,1,1,2,2,1,2,2
65,0,1,1,1,1,2,2,1,2,2
