,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,2
4,0,0,0,0,0,0,0,0,1,1
5,0,0,0,0,0,0,0,1,0,0
6,0,0,0,0,0,0,0,1,0,1
7,0,0,0,0,0,0,0,1,2,1
8,0,0,0,0,0,0,0,1,2,0
9,0,0,0,0,0,0,0,1,2,2
10,0,0,0,0,0,0,0,1,1,0
11,0,0,0,0,0,0,0,1,1,2
12,0,0,0,0,0,0,0,1,1,1
13,0,0,0,0,0,0,1,0,0,0
14,0,0,0,0,0,0,1,0,0,1
15,0,0,0,0,0,0,1,0,1,0
16,0,0,0,0,0,0,1,0,1,2
17,0,0,0,0,0,0,1,0,1,1
18,0,0,0,0,0,0,1,2,1,0
19,0,0,0,0,0,0,1,2,1,2
20,0,0,0,0,0,0,1,2,1,1
21,0,0,0,0,0,0,1,2,0,0
22,0,0,0,0,0,0,1,2,0,1
23,0,0,0,0,0,0,1,2,2,1
24,0,0,0,0,0,0,1,2,2,0
25,0,0,0,0,0,0,1,2,2,2
26,0,0,0,0,0,0,1,1,0,0
27,0,0,0,0,0,0,1,1,0,1
28,0,0,0,0,0,0,1,1,2,1
29,0,0,0,0,0,0,1,1,2,0
30,0,0,0,0,0,0,1,1,2,2
31,0,0,0,0,0,0,1,1,1,0
32,0,0,0,0,0,0,1,1,1,2
33,0,0,0,0,0,0,1,1,1,1
34,0,0,0,0,0,1,0,0,0,0
35,0,0,0,0,0,1,0,0,0,1
36,0,0,0,0,0,1,0,0,1,0
37,0,0,0,0,0,1,0,0,1,2
38,0,0,0,0,0,1,0,0,1,1
39,0,0,0,0,0,1,0,1,0,0
40,0,0,0,0,0,1,0,1,0,1
41,0,0,0,0,0,1,0,1,2,1
42,0,0,0,0,0,1,0,1,2,0
43,0,0,0,0,0,1,0,1,2,2
44,0,0,0,0,0,1,0,1,1,0
45,0,0,0,0,0,1,0,1,1,2
46,0,0,0,0,0,1,0,1,1,1
47,0,0,0,0,0,1,2,1,0,0
48,0,0,0,0,0,1,2,1,0,1
49,0,0,0,0,0,1,2,1,2,1
50,0,0,0,0,0,1,2,1,2,0
51,0,0,0,0,0,1,2,1,2,2
52,0,0,0,0,0,1,2,1,1,0
53,0,0,0,0,0,1,2,1,1,2
54,0,0,0,0,0,1,2,1,1,1
55,0,0,0,0,0,1,2,0,0,0
56,0,0,0,0,0,1,2,0,0,1
57,0,0,0,0,0,1,2,0,1,0
58,0,0,0,0,0,1,2,0,1,2
59,0,0,0,0,0,1,2,0,1,1
60,0,0,0,0,0,1,2,2,1,0
61,0,0,0,0,0,1,2,2,1,2
62,0,0,0,0,0,1,2,2,1,1
63,0,0,0,0,0,1,2,2,0,0
64,0,0,0,0,0,1,2,2,0,1
65,0,0,0,0,0,1,2,2,2,1
66,0,0,0,0,0,1,2,2,2,0
67,0,0,0,0,0,1,2,2,2,2
68,0,0,0,0,0,1,1,0,0,0
69,0,0,0,0,0,1,1,0,0,1
70,0,0,0,0,0,1,1,0,1,0
71,0,0,0,0,0,1,1,0,1,2
72,0,0,0,0,0,1,1,0,1,1
