,0,1,2,3,4,5,6,7,8,9
0,2,0,0,0,1,1,1,0,1,2
1,0,0,0,0,0,1,0,0,1,0
2,3,0,0,1,2,1,2,0,0,1
3,0,1,1,1,0,1,1,2,2,0
4,2,0,1,0,1,1,0,0,0,1
5,0,0,1,1,1,1,0,1,2,1
6,0,1,2,2,1,2,1,1,1,0
7,3,0,1,2,1,0,1,2,2,1
8,1,2,2,2,2,2,1,2,1,0
9,2,1,1,0,0,1,1,2,0,0
10,1,0,0,1,1,1,1,2,2,2
11,1,2,1,1,0,1,1,0,1,2
12,2,1,1,0,0,1,0,1,2,1
13,1,2,0,1,1,2,1,1,0,0
14,1,2,0,0,0,1,1,1,1,2
15,2,0,1,2,0,0,1,0,1,2
16,0,1,2,0,1,1,0,0,1,1
17,0,0,1,0,0,0,1,1,1,2
18,2,1,2,2,1,1,1,1,0,1
19,0,1,2,0,1,2,1,2,2,0
20,3,0,1,1,0,1,2,2,0,0
21,1,0,1,2,1,2,1,1,0,0
22,2,1,2,1,2,2,2,1,2,1
23,2,1,2,1,1,2,1,1,2,0
24,2,0,0,0,1,0,1,1,0,0
25,2,1,1,2,2,2,0,1,1,1
26,2,0,1,2,1,1,0,1,2,0
27,2,0,1,1,0,1,1,1,1,0
28,2,0,0,0,1,1,2,0,0,0
29,2,0,0,1,1,2,0,0,1,1
30,2,1,1,1,1,0,1,2,0,0
31,0,1,1,2,1,2,0,0,0,0
32,1,2,1,2,1,2,2,1,2,1
33,0,1,1,2,2,0,1,0,1,2
34,0,1,2,2,2,1,0,1,2,2
35,2,0,1,2,1,2,0,1,1,2
36,2,0,0,1,1,1,0,1,2,1
37,1,2,1,2,1,2,1,1,0,1
38,0,1,1,0,1,1,2,0,1,2
39,1,0,1,1,0,0,0,1,2,1
40,1,2,2,2,1,2,0,0,1,2
41,0,0,0,0,0,1,2,1,2,1
42,0,0,0,1,0,0,1,0,1,0
43,0,0,1,1,2,2,0,0,0,1
44,2,1,1,0,1,1,0,1,1,2
45,3,0,1,2,2,1,1,1,0,1
46,3,0,1,0,0,1,2,1,0,0
47,0,0,1,0,1,1,1,0,1,2
48,0,1,2,0,0,0,0,0,1,1
49,0,1,2,1,1,0,1,1,2,1
50,2,1,0,1,1,1,1,1,2,1
51,0,0,1,1,2,2,1,2,0,1
52,3,0,0,0,1,1,1,1,1,1
53,0,1,1,2,1,1,2,2,1,1
54,1,2,2,1,2,2,2,0,1,0
55,3,0,1,0,0,0,1,0,1,1
56,1,0,1,0,0,0,1,2,2,1
57,1,2,0,1,2,2,1,2,1,0
58,1,2,0,1,2,1,1,2,1,2
59,2,1,2,1,2,1,0,1,0,1
60,0,0,1,1,1,1,2,1,0,1
61,0,1,1,1,2,2,2,2,2,0
62,0,1,2,1,2,2,1,0,1,2
63,0,1,0,1,1,1,2,1,0,1
64,1,0,1,0,0,1,0,1,2,0
65,0,1,0,0,1,1,2,2,1,1
66,3,0,1,2,1,1,0,0,1,1
67,2,1,1,2,2,0,0,1,2,1
68,1,2,2,0,1,0,1,0,1,2
69,1,2,2,1,1,0,1,2,1,1
70,2,1,1,2,0,1,2,2,1,2
71,0,0,0,1,2,2,1,1,2,2
72,1,2,0,0,1,2,0,0,0,0
73,0,1,1,2,0,1,1,1,1,1
74,2,1,1,0,1,1,2,0,0,0
75,0,1,2,2,2,1,0,0,1,0
76,1,2,2,1,2,2,1,2,0,0
77,2,1,2,0,1,1,2,1,2,1
78,0,1,2,2,1,1,1,2,2,1
79,1,0,0,0,1,1,1,2,1,0
80,2,0,0,1,2,2,1,0,1,0
81,2,0,1,1,0,0,0,1,0,1
82,1,0,0,0,1,2,1,1,1,1
83,2,1,1,1,2,1,2,2,0,0
84,2,0,1,2,0,1,0,0,0,0
85,2,1,1,2,1,2,1,2,2,1
86,0,1,1,0,1,1,0,0,1,0
87,1,2,1,2,1,2,1,2,1,1
88,2,1,1,2,2,2,2,2,1,1
89,2,0,0,1,1,1,2,1,0,1
90,2,0,1,2,0,0,1,2,0,0
91,1,0,0,1,1,0,0,0,1,0
92,3,0,1,1,2,2,1,2,2,1
93,0,0,1,2,1,1,2,1,2,0
94,3,0,0,1,1,1,1,0,1,0
95,2,0,1,0,1,2,0,0,1,1
96,2,1,0,0,0,1,1,2,2,2
97,3,0,1,1,2,2,2,0,1,2
98,0,0,1,2,1,0,1,2,0,1
99,2,0,1,2,1,0,0,0,1,1
100,2,1,1,1,1,0,0,1,2,2
101,2,1,2,0,1,1,0,0,1,0
102,3,0,0,1,1,0,0,1,0,1
103,2,1,1,1,0,0,0,0,0,0
104,2,0,0,1,1,2,1,2,1,2
105,1,0,1,2,0,1,0,0,1,1
106,2,1,0,1,2,1,0,1,2,2
107,0,0,1,2,2,2,1,1,1,2
108,2,1,0,1,2,1,1,1,1,0
109,0,1,1,2,1,2,1,0,0,1
110,2,1,0,1,0,1,0,1,1,1
111,2,0,1,2,1,1,1,0,0,1
112,2,1,2,1,1,2,0,1,1,2
113,2,1,1,1,0,0,1,1,2,0
114,2,0,1,1,2,1,1,1,1,2
115,2,0,1,2,0,0,1,2,2,1
116,1,0,0,1,2,0,0,1,1,0
117,2,1,2,2,1,1,2,2,1,2
118,1,2,2,0,1,2,0,0,1,1
119,2,1,1,2,2,0,0,1,1,1
120,2,1,1,1,1,1,1,1,0,0
121,0,1,0,1,0,0,1,2,2,0
122,1,0,1,0,0,1,2,1,0,0
123,1,2,0,0,1,2,1,1,1,0
124,2,1,1,0,0,1,0,0,1,0
125,1,2,0,0,1,1,1,1,0,0
126,2,0,0,1,2,1,2,2,2,1
127,1,0,1,0,1,2,0,1,2,1
128,3,0,1,1,1,2,0,0,1,2
129,1,2,1,0,1,1,0,1,1,0
130,0,1,0,1,0,1,0,1,0,1
131,0,0,0,0,0,1,1,0,1,0
132,0,0,0,0,1,2,1,0,1,0
133,3,0,1,1,0,0,1,1,2,2
134,1,2,0,1,0,0,0,1,0,1
135,1,0,1,1,2,1,0,0,1,1
136,2,1,2,2,1,2,0,0,1,2
137,3,0,1,1,1,1,2,1,2,1
138,2,0,1,2,1,2,1,0,1,1
139,3,0,1,0,1,0,1,2,0,0
140,3,0,1,2,2,1,2,2,1,2
141,1,2,2,0,1,1,1,2,2,0
142,0,1,2,1,1,1,1,2,1,1
143,1,2,1,2,1,2,2,0,1,0
144,2,1,1,1,1,0,0,0,1,0
145,2,1,2,0,0,0,0,1,1,1
146,0,0,1,2,1,2,0,1,1,0
147,2,0,0,1,1,1,0,0,1,0
148,1,2,2,2,1,2,1,2,0,0
149,0,0,0,1,2,0,0,1,1,0
150,0,0,1,2,2,1,2,2,0,1
151,1,2,0,0,0,1,0,1,1,1
152,1,2,1,2,1,1,1,2,0,0
153,2,1,2,2,1,0,1,0,1,1
154,0,1,2,2,2,2,1,0,1,2
155,1,2,0,1,1,2,2,2,1,1
156,0,1,0,1,1,1,1,1,2,0
157,3,0,1,2,0,1,1,0,0,1
158,1,2,0,1,1,0,1,1,2,0
159,1,2,1,2,2,1,1,0,1,0
160,0,0,0,0,1,0,1,0,1,1
161,1,2,1,0,0,1,0,1,2,0
162,2,1,0,1,2,1,2,2,2,2
