,0,1,2,3,4,5,6,7,8,9
0,1,2,2,2,1,0,0,0,0,1
1,0,1,2,1,1,2,2,1,1,2
2,1,2,2,2,1,1,0,0,0,1
3,0,0,1,1,2,1,2,1,0,0
4,1,2,0,0,0,0,0,1,1,1
5,0,1,2,2,1,2,1,1,1,0
6,2,1,1,1,2,0,0,0,1,0
7,1,2,2,2,2,2,1,2,1,0
8,1,2,2,2,2,2,2,2,2,2
9,0,0,1,1,2,2,1,2,1,1
10,1,2,0,0,0,1,1,1,1,2
11,0,0,1,0,0,0,1,1,1,2
12,2,1,1,1,1,2,2,2,0,0
13,0,1,0,0,0,1,1,1,1,1
14,0,0,0,1,2,1,2,2,2,1
15,2,1,2,1,2,2,2,1,2,1
16,2,1,2,2,2,2,1,0,0,0
17,2,1,2,1,1,2,1,1,2,0
18,1,2,1,1,1,1,2,2,2,1
19,2,0,0,0,1,1,2,0,0,0
20,1,2,2,2,1,2,2,2,1,1
21,0,1,1,1,1,0,0,0,0,0
22,0,1,1,2,1,2,0,0,0,0
23,0,0,0,1,0,0,0,1,0,0
24,1,2,1,2,1,2,2,1,2,1
25,2,1,1,1,1,1,1,0,0,0
26,0,0,1,2,2,1,1,1,1,0
27,2,0,0,0,1,2,2,1,2,1
28,0,1,1,1,1,1,1,0,0,0
29,0,0,0,1,0,0,0,0,1,0
30,0,0,0,0,0,1,2,1,2,1
31,0,0,1,1,2,2,0,0,0,1
32,0,1,0,0,0,1,2,2,1,0
33,0,0,0,1,1,2,2,2,1,0
34,0,0,1,0,0,0,1,2,0,0
35,2,1,1,1,1,2,1,2,2,1
36,2,1,1,2,1,1,2,1,2,0
37,0,1,2,2,1,2,1,1,0,0
38,0,0,1,2,1,1,1,2,1,0
39,0,1,2,0,0,0,0,0,1,1
40,2,1,1,1,2,1,2,2,1,0
41,0,1,1,1,1,2,2,2,2,2
42,0,1,1,1,1,2,2,2,1,0
43,1,2,2,1,2,2,1,1,1,2
44,0,1,1,2,1,1,2,2,1,1
45,0,1,0,0,0,1,0,0,0,0
46,1,2,2,1,1,2,2,2,2,2
47,0,0,1,1,2,1,2,2,2,0
48,1,2,2,1,2,1,1,1,2,0
49,2,1,2,2,0,0,0,1,2,1
50,2,1,2,0,0,0,0,0,1,1
51,0,1,1,1,2,2,2,2,2,0
52,0,1,2,0,0,0,1,1,1,0
53,1,2,2,1,1,2,1,1,2,0
54,2,1,2,2,1,1,1,2,2,1
55,0,1,2,2,1,2,1,1,2,1
56,1,2,1,1,1,1,2,2,1,1
57,1,2,2,2,2,2,1,2,2,1
58,2,1,1,1,0,0,0,0,1,0
59,0,0,0,1,2,2,1,1,2,2
