,0,1,2,3,4
0,1,2,0,1,0
1,2,1,1,0,0
2,2,1,2,0,1
3,2,1,1,1,1
4,2,1,2,0,0
5,3,0,0,1,2
6,0,1,1,1,0
7,2,1,1,1,0
8,2,1,2,1,1
9,0,0,0,1,2
10,0,1,2,2,0
11,1,2,2,2,1
12,0,1,2,0,1
13,0,0,0,0,0
14,1,0,0,0,1
15,3,0,1,0,1
16,0,0,0,1,1
17,1,2,0,0,1
18,3,0,0,1,0
19,2,0,1,2,2
20,2,1,2,2,1
21,3,0,1,0,0
22,0,1,2,1,1
23,0,0,0,1,0
24,0,0,1,1,2
25,3,0,1,1,1
26,2,1,2,2,0
27,0,1,1,0,1
28,3,0,1,2,2
29,1,2,1,2,2
30,2,1,0,1,2
31,0,1,1,0,0
32,2,0,1,2,1
33,0,1,1,1,1
34,2,0,1,2,0
35,0,1,1,2,2
36,0,1,2,2,1
37,2,1,0,0,0
38,0,0,1,1,0
39,3,0,1,2,1
40,2,0,1,1,2
41,2,1,0,1,1
42,3,0,0,0,1
43,3,0,1,2,0
44,0,0,0,0,1
45,2,1,0,1,0
46,3,0,0,0,0
47,3,0,0,1,1
48,0,1,1,2,1
49,2,0,1,0,0
50,2,0,1,1,1
51,0,1,1,2,0
52,1,2,2,1,2
53,2,0,1,1,0
54,1,2,1,1,2
55,1,0,1,2,2
56,2,1,1,2,2
57,0,0,1,0,1
58,2,0,0,1,2
59,0,0,1,0,0
60,2,1,0,0,1
61,1,2,1,1,1
62,0,0,1,1,1
63,1,2,2,1,0
64,1,0,1,2,1
65,1,2,1,1,0
66,0,0,1,2,2
67,2,0,0,0,0
68,1,2,1,2,1
69,2,0,0,1,1
70,1,0,1,2,0
71,2,1,1,2,0
72,2,0,1,0,1
73,1,2,1,2,0
74,2,0,0,1,0
75,1,0,1,1,2
76,0,1,0,1,2
77,0,0,1,2,1
78,1,2,1,0,1
79,0,0,1,2,0
80,2,1,2,1,2
81,1,0,1,0,0
82,1,2,2,0,0
83,1,0,1,1,1
84,1,2,1,0,0
85,0,1,0,1,1
86,1,0,1,1,0
87,1,2,2,2,2
88,0,1,0,1,0
89,1,2,2,1,1
90,2,0,0,0,1
91,2,1,2,2,2
92,2,1,2,1,0
93,0,1,2,1,2
94,1,0,0,1,2
95,2,1,1,2,1
96,3,0,1,1,2
97,1,2,0,1,2
98,1,2,2,2,0
99,0,1,2,0,0
100,0,1,0,0,1
101,1,0,0,0,0
102,0,1,1,1,2
103,2,1,1,1,2
104,1,0,0,1,1
105,1,2,0,0,0
106,0,1,0,0,0
107,1,0,1,0,1
108,1,2,0,1,1
109,1,2,2,0,1
110,2,1,1,0,1
111,0,1,2,2,2
112,0,1,2,1,0
113,1,0,0,1,0
114,3,0,1,1,0
