,0,1,2,3,4
0,0,1,2,1,2
1,0,1,2,1,1
2,0,1,2,0,1
3,0,1,2,0,0
4,0,1,2,2,1
5,0,1,2,2,0
6,0,1,2,2,2
7,0,1,1,2,1
8,0,1,1,2,0
9,0,1,1,2,2
10,0,1,1,1,2
11,0,1,1,1,1
12,0,0,1,2,1
13,0,0,1,2,0
14,0,0,1,2,2
15,0,0,1,1,2
16,0,0,1,1,1
17,0,0,0,1,2
18,0,0,0,1,1
19,0,0,0,0,1
20,0,0,0,0,0
21,1,2,1,2,1
22,1,2,1,2,0
23,1,2,1,2,2
24,1,2,1,1,2
25,1,2,1,1,1
26,1,2,0,1,2
27,1,2,0,1,1
28,1,2,0,0,1
29,1,2,0,0,0
30,1,2,2,1,2
31,1,2,2,1,1
32,1,2,2,0,1
33,1,2,2,0,0
34,1,2,2,2,1
35,1,2,2,2,0
36,1,2,2,2,2
37,2,1,2,1,2
38,2,1,2,1,1
39,2,1,2,0,1
40,2,1,2,0,0
41,2,1,2,2,1
42,2,1,2,2,0
43,2,1,2,2,2
44,2,1,1,2,1
45,2,1,1,2,0
46,2,1,1,2,2
47,2,1,1,1,2
48,2,1,1,1,1
49,2,0,1,2,1
50,2,0,1,2,0
51,2,0,1,2,2
52,2,0,1,1,2
53,2,0,1,1,1
54,2,0,0,1,2
55,2,0,0,1,1
56,2,0,0,0,1
57,2,0,0,0,0
58,3,3,3,3,3
