,0,1,2,3,4
0,0,0,1,2,0
1,0,0,1,1,2
2,2,1,2,1,2
3,2,0,0,0,0
4,1,2,1,2,0
5,0,0,0,1,1
6,1,2,1,1,2
7,1,2,0,0,0
8,1,2,2,1,0
9,0,1,2,1,0
10,1,2,2,2,1
11,0,1,2,2,1
12,2,1,1,1,0
13,2,1,2,2,0
14,2,1,1,2,1
15,0,1,0,0,0
16,0,0,1,2,2
17,0,1,1,1,1
18,0,0,0,1,0
19,1,2,1,2,2
20,0,1,1,0,0
21,1,2,2,2,0
22,1,2,2,1,2
23,0,1,2,2,0
24,0,1,2,1,2
25,0,1,1,2,1
26,2,1,1,2,0
27,2,1,1,1,2
28,1,2,1,0,0
29,2,1,2,2,2
30,0,1,1,1,0
31,0,0,1,0,0
32,0,0,1,1,1
33,2,1,2,1,1
34,3,3,3,3,3
35,0,0,0,1,2
36,2,1,2,0,0
37,1,2,1,1,1
38,0,1,1,2,0
39,1,2,2,2,2
40,0,1,2,2,2
41,2,1,1,2,2
42,2,0,0,0,1
43,0,0,0,0,1
44,0,0,1,1,0
45,1,0,0,0,1
46,1,2,2,0,0
47,2,1,2,1,0
48,0,0,1,2,1
49,0,1,1,1,2
50,0,1,2,0,0
51,2,1,1,1,1
52,1,2,1,1,0
53,2,1,1,0,0
54,1,2,1,2,1
55,2,1,0,0,0
56,1,2,2,1,1
57,0,1,1,2,2
58,0,1,2,1,1
59,2,1,2,2,1
60,0,0,0,0,0
61,1,0,0,0,0
