,0,1,2,3,4
0,1,2,1,0,0
1,2,1,1,0,0
2,1,2,1,2,2
3,2,1,1,2,2
4,0,1,1,0,0
5,2,1,1,1,1
6,0,1,1,1,1
7,1,2,2,2,2
8,0,0,1,0,0
9,3,3,3,3,3
10,2,1,2,0,0
11,1,2,1,1,1
12,0,1,1,1,0
13,1,2,2,1,1
14,2,1,1,1,0
15,0,0,1,1,1
16,0,1,1,2,2
17,2,1,2,1,1
18,0,1,2,2,1
19,1,2,2,1,0
20,2,1,0,0,0
21,2,0,0,0,1
22,0,0,0,1,2
23,0,0,1,1,0
24,1,2,1,1,0
25,2,1,2,1,0
26,2,1,2,2,2
27,0,1,2,2,0
28,0,0,1,2,2
29,0,1,2,1,2
30,2,0,0,0,0
31,1,2,1,2,1
32,2,1,1,2,1
33,0,0,0,0,1
34,2,1,1,2,0
35,1,2,1,2,0
36,1,2,2,2,1
37,0,0,0,0,0
38,1,0,0,0,1
39,0,1,1,2,1
40,1,2,2,2,0
41,0,1,2,0,0
42,0,0,0,1,1
43,1,0,0,0,0
44,0,1,1,1,2
45,0,0,1,2,1
46,2,1,1,1,2
47,0,1,1,2,0
48,1,2,0,0,0
49,2,1,2,2,1
50,0,1,2,1,1
51,0,0,0,1,0
52,1,2,2,1,2
53,0,1,0,0,0
54,0,0,1,1,2
55,1,2,1,1,2
56,0,0,1,2,0
57,2,1,2,1,2
58,0,1,2,2,2
59,0,1,2,1,0
60,2,1,2,2,0
61,1,2,2,0,0
