,0,1,2,3,4
0,0,0,1,2,0
1,2,0,0,1,1
2,0,1,0,0,1
3,0,0,0,1,1
4,3,0,1,2,2
5,0,1,2,2,1
6,2,1,1,1,0
7,2,0,0,1,0
8,0,0,1,0,1
9,0,1,1,1,1
10,2,0,1,1,1
11,1,2,2,1,2
12,1,0,1,0,0
13,3,0,1,1,1
14,1,2,0,1,2
15,2,1,2,1,1
16,2,1,1,0,1
17,0,1,0,1,2
18,2,1,1,2,2
19,1,2,2,0,0
20,0,0,1,2,1
21,3,0,0,1,2
22,3,0,1,2,0
23,0,1,1,2,2
24,1,0,0,0,0
25,2,1,1,1,1
26,1,2,1,1,2
27,1,2,2,1,0
28,1,0,1,0,1
29,3,0,1,0,1
30,1,2,0,1,0
31,1,0,1,2,2
32,0,1,1,0,0
33,2,1,0,1,2
34,2,0,1,0,0
35,0,1,0,1,0
36,0,1,2,1,2
37,2,1,1,2,0
38,1,2,1,0,0
39,3,0,1,0,0
40,3,0,0,1,0
41,1,2,2,0,1
42,2,1,2,0,0
43,0,1,1,2,0
44,1,2,2,2,2
45,3,0,1,2,1
46,1,0,0,0,1
47,0,1,2,0,0
48,2,1,0,1,1
49,1,2,1,1,0
50,1,0,1,1,2
51,1,2,2,1,1
52,2,0,0,0,0
53,0,0,1,1,2
54,1,0,1,2,0
55,1,2,0,1,1
56,2,1,0,1,0
57,0,1,1,0,1
58,0,1,2,1,0
59,2,0,1,0,1
60,0,1,0,1,1
61,2,1,1,2,1
62,1,2,1,0,1
63,2,0,1,2,2
64,3,0,0,0,0
65,3,0,0,1,1
66,1,2,1,2,2
67,1,2,2,2,0
68,2,1,2,0,1
69,0,1,1,2,1
70,2,1,2,2,2
71,1,0,1,1,0
72,0,0,0,1,2
73,0,1,2,0,1
74,1,2,1,1,1
75,0,1,2,2,2
76,2,0,1,2,1
77,2,0,0,0,1
78,0,0,1,1,0
79,0,1,1,1,2
80,1,0,1,2,1
81,2,0,1,1,2
82,1,2,0,0,1
83,2,1,0,0,0
84,3,0,1,1,2
85,0,1,2,1,1
86,2,1,2,2,1
87,0,0,0,0,0
88,2,0,1,2,0
89,2,1,2,1,2
90,1,2,1,2,0
91,1,2,0,0,0
92,3,0,0,0,1
93,1,0,0,1,0
94,1,2,2,2,1
95,2,1,2,2,0
96,0,1,0,0,0
97,0,0,1,2,2
98,0,0,0,1,0
99,1,0,1,1,1
100,0,1,2,2,0
101,1,0,0,1,2
102,2,1,1,1,2
103,0,0,1,0,0
104,0,0,1,1,1
105,0,1,1,1,0
106,2,0,1,1,0
107,2,0,0,1,2
108,3,0,1,1,0
109,2,1,0,0,1
110,0,0,0,0,1
111,2,1,2,1,0
112,2,1,1,0,0
113,1,2,1,2,1
114,1,0,0,1,1
