,0,1,2,3,4
0,0,1,0,1,0
1,0,1,0,1,2
2,0,1,0,1,1
3,0,1,0,0,1
4,0,1,0,0,0
5,0,1,2,1,0
6,0,1,2,1,2
7,0,1,2,1,1
8,0,1,2,0,1
9,0,1,2,0,0
10,0,1,2,2,1
11,0,1,2,2,0
12,0,1,2,2,2
13,0,1,1,0,1
14,0,1,1,0,0
15,0,1,1,2,1
16,0,1,1,2,0
17,0,1,1,2,2
18,0,1,1,1,0
19,0,1,1,1,2
20,0,1,1,1,1
21,0,0,1,0,1
22,0,0,1,0,0
23,0,0,1,2,1
24,0,0,1,2,0
25,0,0,1,2,2
26,0,0,1,1,0
27,0,0,1,1,2
28,0,0,1,1,1
29,0,0,0,1,0
30,0,0,0,1,2
31,0,0,0,1,1
32,0,0,0,0,1
33,0,0,0,0,0
34,1,0,1,0,1
35,1,0,1,0,0
36,1,0,1,2,1
37,1,0,1,2,0
38,1,0,1,2,2
39,1,0,1,1,0
40,1,0,1,1,2
41,1,0,1,1,1
42,1,0,0,1,0
43,1,0,0,1,2
44,1,0,0,1,1
45,1,0,0,0,1
46,1,0,0,0,0
47,1,2,1,0,1
48,1,2,1,0,0
49,1,2,1,2,1
50,1,2,1,2,0
51,1,2,1,2,2
52,1,2,1,1,0
53,1,2,1,1,2
54,1,2,1,1,1
55,1,2,0,1,0
56,1,2,0,1,2
57,1,2,0,1,1
58,1,2,0,0,1
59,1,2,0,0,0
60,1,2,2,1,0
61,1,2,2,1,2
62,1,2,2,1,1
63,1,2,2,0,1
64,1,2,2,0,0
65,1,2,2,2,1
66,1,2,2,2,0
67,1,2,2,2,2
68,2,1,0,1,0
69,2,1,0,1,2
70,2,1,0,1,1
71,2,1,0,0,1
72,2,1,0,0,0
73,2,1,2,1,0
74,2,1,2,1,2
75,2,1,2,1,1
76,2,1,2,0,1
77,2,1,2,0,0
78,2,1,2,2,1
79,2,1,2,2,0
80,2,1,2,2,2
81,2,1,1,0,1
82,2,1,1,0,0
83,2,1,1,2,1
84,2,1,1,2,0
85,2,1,1,2,2
86,2,1,1,1,0
87,2,1,1,1,2
88,2,1,1,1,1
89,2,0,1,0,1
90,2,0,1,0,0
91,2,0,1,2,1
92,2,0,1,2,0
93,2,0,1,2,2
94,2,0,1,1,0
95,2,0,1,1,2
96,2,0,1,1,1
97,2,0,0,1,0
98,2,0,0,1,2
99,2,0,0,1,1
100,2,0,0,0,1
101,2,0,0,0,0
102,3,3,3,3,3
