,0,1,2,3,4
0,0,1,0,0,0
1,0,1,2,1,0
2,0,1,2,1,2
3,0,1,2,1,1
4,0,1,2,0,0
5,0,1,2,2,1
6,0,1,2,2,0
7,0,1,2,2,2
8,0,1,1,0,0
9,0,1,1,2,1
10,0,1,1,2,0
11,0,1,1,2,2
12,0,1,1,1,0
13,0,1,1,1,2
14,0,1,1,1,1
15,0,0,1,0,0
16,0,0,1,2,1
17,0,0,1,2,0
18,0,0,1,2,2
19,0,0,1,1,0
20,0,0,1,1,2
21,0,0,1,1,1
22,0,0,0,1,0
23,0,0,0,1,2
24,0,0,0,1,1
25,0,0,0,0,1
26,0,0,0,0,0
27,1,0,0,0,1
28,1,0,0,0,0
29,1,2,1,0,0
30,1,2,1,2,1
31,1,2,1,2,0
32,1,2,1,2,2
33,1,2,1,1,0
34,1,2,1,1,2
35,1,2,1,1,1
36,1,2,0,0,0
37,1,2,2,1,0
38,1,2,2,1,2
39,1,2,2,1,1
40,1,2,2,0,0
41,1,2,2,2,1
42,1,2,2,2,0
43,1,2,2,2,2
44,2,1,0,0,0
45,2,1,2,1,0
46,2,1,2,1,2
47,2,1,2,1,1
48,2,1,2,0,0
49,2,1,2,2,1
50,2,1,2,2,0
51,2,1,2,2,2
52,2,1,1,0,0
53,2,1,1,2,1
54,2,1,1,2,0
55,2,1,1,2,2
56,2,1,1,1,0
57,2,1,1,1,2
58,2,1,1,1,1
59,2,0,0,0,1
60,2,0,0,0,0
61,3,3,3,3,3
