,0,1,2,3,4
0,0,0,0,0,0
1,0,0,0,0,1
2,0,0,0,1,0
3,0,0,0,1,2
4,0,0,0,1,1
5,0,0,1,0,0
6,0,0,1,0,1
7,0,0,1,2,1
8,0,0,1,2,0
9,0,0,1,2,2
10,0,0,1,1,0
11,0,0,1,1,2
12,0,0,1,1,1
13,0,1,0,0,0
14,0,1,0,0,1
15,0,1,0,1,0
16,0,1,0,1,2
17,0,1,0,1,1
18,0,1,2,1,0
19,0,1,2,1,2
20,0,1,2,1,1
21,0,1,2,0,0
22,0,1,2,0,1
23,0,1,2,2,1
24,0,1,2,2,0
25,0,1,2,2,2
26,0,1,1,0,0
27,0,1,1,0,1
28,0,1,1,2,1
29,0,1,1,2,0
30,0,1,1,2,2
31,0,1,1,1,0
32,0,1,1,1,2
33,0,1,1,1,1
34,1,0,0,0,0
35,1,0,0,0,1
36,1,0,0,1,0
37,1,0,0,1,2
38,1,0,0,1,1
39,1,0,1,0,0
40,1,0,1,0,1
41,1,0,1,2,1
42,1,0,1,2,0
43,1,0,1,2,2
44,1,0,1,1,0
45,1,0,1,1,2
46,1,0,1,1,1
47,1,2,1,0,0
48,1,2,1,0,1
49,1,2,1,2,1
50,1,2,1,2,0
51,1,2,1,2,2
52,1,2,1,1,0
53,1,2,1,1,2
54,1,2,1,1,1
55,1,2,0,0,0
56,1,2,0,0,1
57,1,2,0,1,0
58,1,2,0,1,2
59,1,2,0,1,1
60,1,2,2,1,0
61,1,2,2,1,2
62,1,2,2,1,1
63,1,2,2,0,0
64,1,2,2,0,1
65,1,2,2,2,1
66,1,2,2,2,0
67,1,2,2,2,2
68,2,1,0,0,0
69,2,1,0,0,1
70,2,1,0,1,0
71,2,1,0,1,2
72,2,1,0,1,1
73,2,1,2,1,0
74,2,1,2,1,2
75,2,1,2,1,1
76,2,1,2,0,0
77,2,1,2,0,1
78,2,1,2,2,1
79,2,1,2,2,0
80,2,1,2,2,2
81,2,1,1,0,0
82,2,1,1,0,1
83,2,1,1,2,1
84,2,1,1,2,0
85,2,1,1,2,2
86,2,1,1,1,0
87,2,1,1,1,2
88,2,1,1,1,1
89,2,0,0,0,0
90,2,0,0,0,1
91,2,0,0,1,0
92,2,0,0,1,2
93,2,0,0,1,1
94,2,0,1,0,0
95,2,0,1,0,1
96,2,0,1,2,1
97,2,0,1,2,0
98,2,0,1,2,2
99,2,0,1,1,0
100,2,0,1,1,2
101,2,0,1,1,1
102,3,0,0,0,0
103,3,0,0,0,1
104,3,0,0,1,0
105,3,0,0,1,2
106,3,0,0,1,1
107,3,0,1,0,0
108,3,0,1,0,1
109,3,0,1,2,1
110,3,0,1,2,0
111,3,0,1,2,2
112,3,0,1,1,0
113,3,0,1,1,2
114,3,0,1,1,1
