,0,1,2,3,4
0,0,1,0,0,3
1,0,1,0,1,1
2,1,0,1,0,0
3,1,2,0,1,1
4,0,1,0,1,0
5,0,1,0,1,2
6,2,0,0,0,3
7,1,0,0,0,1
8,1,2,0,1,0
9,0,3,0,3,3
10,1,2,0,1,2
11,0,3,3,0,1
12,2,1,2,0,0
13,1,0,3,3,0
14,2,1,0,3,3
15,0,0,1,2,1
16,2,1,0,0,3
17,1,0,0,0,0
18,0,3,3,0,0
19,0,1,1,0,1
20,0,1,2,0,3
21,3,0,0,0,3
22,0,0,1,2,0
23,0,0,1,2,2
24,1,0,3,0,3
25,0,0,3,3,3
26,0,0,0,3,3
27,0,0,3,0,1
28,0,1,0,0,1
29,3,0,3,3,0
30,0,0,1,1,0
31,0,0,1,1,2
32,2,1,1,1,0
33,2,1,1,1,2
34,0,1,0,0,0
35,2,0,1,1,1
36,0,0,0,1,1
37,2,0,0,0,1
38,2,0,1,0,3
39,1,2,1,1,2
40,2,0,1,2,2
41,2,1,2,0,1
42,2,1,0,0,1
43,2,0,1,1,0
44,0,0,0,1,0
45,0,0,0,1,2
46,2,0,1,1,2
47,2,0,0,0,0
48,0,3,0,3,0
49,3,0,1,1,1
50,3,0,0,0,1
51,0,3,3,3,3
52,0,1,2,0,1
53,2,1,0,3,0
54,3,0,1,0,3
55,1,0,1,1,2
56,1,2,2,0,1
57,2,1,0,0,0
58,3,0,1,2,0
59,0,0,1,0,3
60,3,0,1,2,2
61,2,0,3,3,0
62,3,0,1,1,0
63,3,0,1,1,2
64,0,1,2,0,0
65,3,0,0,0,0
66,2,1,0,1,1
67,1,2,2,0,0
68,0,0,3,3,0
69,0,0,1,1,1
70,0,0,0,3,0
71,0,1,1,2,0
72,0,3,0,1,0
73,0,3,0,1,2
74,0,1,1,2,2
75,2,1,1,1,1
76,2,1,0,1,0
77,2,1,0,1,2
78,2,0,3,0,3
79,0,1,1,1,1
80,1,2,0,3,3
81,0,0,0,0,3
82,1,2,1,1,1
83,2,0,1,2,1
84,2,0,1,0,0
85,2,0,0,3,3
86,3,0,3,0,3
87,0,1,1,1,0
88,0,1,1,1,2
89,1,2,1,1,0
90,2,0,1,2,0
91,0,0,1,0,1
92,1,0,1,1,1
93,3,0,1,2,1
94,0,3,3,3,0
95,3,0,1,0,0
96,3,0,0,3,3
97,1,0,1,2,0
98,1,0,1,2,2
99,2,0,0,1,1
100,0,0,1,0,0
101,0,1,2,2,1
102,1,0,1,1,0
103,1,0,0,3,3
104,1,0,3,0,1
105,2,1,2,1,1
106,2,1,1,2,1
107,2,0,0,1,0
108,2,0,0,1,2
109,0,1,1,2,1
110,0,3,0,1,1
111,2,1,2,2,2
112,0,3,0,0,3
113,2,1,1,0,3
114,0,1,2,2,0
115,0,1,2,2,2
116,3,0,0,1,1
117,1,0,3,0,0
118,2,1,2,1,0
119,2,1,2,1,2
120,1,2,1,2,1
121,1,2,2,1,1
122,2,1,1,2,0
123,2,1,1,2,2
124,2,0,3,0,0
125,0,1,1,0,3
126,3,0,0,1,0
127,0,1,2,1,0
128,0,1,2,1,2
129,1,2,1,0,3
130,2,0,1,0,1
131,3,0,0,1,2
132,0,1,0,3,3
133,1,2,1,2,0
134,1,2,1,2,2
135,1,2,2,1,0
136,1,2,2,1,2
137,0,0,3,0,3
138,1,0,0,1,0
139,1,0,0,1,2
140,2,0,0,3,0
141,1,2,0,0,3
142,3,0,3,0,0
143,1,0,1,0,3
144,3,0,1,0,1
145,1,0,1,2,1
146,3,0,0,3,0
147,0,3,0,0,1
148,2,1,1,0,1
149,2,1,2,0,3
150,1,0,0,3,0
151,2,1,2,2,1
152,1,0,3,3,3
153,2,0,3,3,3
154,0,3,0,0,0
155,1,0,0,0,3
156,2,1,1,0,0
157,2,0,3,0,1
158,1,2,1,0,1
159,0,3,3,0,3
160,1,2,2,0,3
161,2,1,2,2,0
162,1,2,2,2,1
163,0,1,2,1,1
164,0,1,1,0,0
165,0,0,0,0,1
166,1,2,0,0,1
167,1,2,1,0,0
168,1,0,0,1,1
169,3,0,3,3,3
170,0,1,0,3,0
171,1,2,2,2,0
172,1,2,2,2,2
173,3,0,3,0,1
174,0,0,3,0,0
175,1,0,1,0,1
176,1,2,0,3,0
177,0,0,0,0,0
178,1,2,0,0,0
