,0,1,2,3,4,5
0,0,1,2,1,2,1
1,0,1,2,1,2,0
2,0,1,2,1,2,2
3,0,1,2,1,1,2
4,0,1,2,1,1,1
5,0,1,2,0,0,1
6,0,1,2,0,0,0
7,0,1,2,2,1,2
8,0,1,2,2,1,1
9,0,1,2,2,0,0
10,0,1,2,2,2,1
11,0,1,2,2,2,0
12,0,1,2,2,2,2
13,0,1,1,2,1,2
14,0,1,1,2,1,1
15,0,1,1,2,0,0
16,0,1,1,2,2,1
17,0,1,1,2,2,0
18,0,1,1,2,2,2
19,0,1,1,1,2,1
20,0,1,1,1,2,0
21,0,1,1,1,2,2
22,0,1,1,1,1,2
23,0,1,1,1,1,1
24,0,0,1,2,1,2
25,0,0,1,2,1,1
26,0,0,1,2,0,0
27,0,0,1,2,2,1
28,0,0,1,2,2,0
29,0,0,1,2,2,2
30,0,0,1,1,2,1
31,0,0,1,1,2,0
32,0,0,1,1,2,2
33,0,0,1,1,1,2
34,0,0,1,1,1,1
35,0,0,0,1,2,1
36,0,0,0,1,2,0
37,0,0,0,1,2,2
38,0,0,0,1,1,2
39,0,0,0,1,1,1
40,0,0,0,0,1,2
41,0,0,0,0,1,1
42,0,0,0,0,0,1
43,0,0,0,0,0,0
44,1,2,1,2,1,2
45,1,2,1,2,1,1
46,1,2,1,2,0,0
47,1,2,1,2,2,1
48,1,2,1,2,2,0
49,1,2,1,2,2,2
50,1,2,1,1,2,1
51,1,2,1,1,2,0
52,1,2,1,1,2,2
53,1,2,1,1,1,2
54,1,2,1,1,1,1
55,1,2,0,0,1,2
56,1,2,0,0,1,1
57,1,2,0,0,0,1
58,1,2,0,0,0,0
59,1,2,2,1,2,1
60,1,2,2,1,2,0
61,1,2,2,1,2,2
62,1,2,2,1,1,2
63,1,2,2,1,1,1
64,1,2,2,0,0,1
65,1,2,2,0,0,0
66,1,2,2,2,1,2
67,1,2,2,2,1,1
68,1,2,2,2,0,0
69,1,2,2,2,2,1
70,1,2,2,2,2,0
71,1,2,2,2,2,2
72,2,1,2,1,2,1
73,2,1,2,1,2,0
74,2,1,2,1,2,2
75,2,1,2,1,1,2
76,2,1,2,1,1,1
77,2,1,2,0,0,1
78,2,1,2,0,0,0
79,2,1,2,2,1,2
80,2,1,2,2,1,1
81,2,1,2,2,0,0
82,2,1,2,2,2,1
83,2,1,2,2,2,0
84,2,1,2,2,2,2
85,2,1,1,2,1,2
86,2,1,1,2,1,1
87,2,1,1,2,0,0
88,2,1,1,2,2,1
89,2,1,1,2,2,0
90,2,1,1,2,2,2
91,2,1,1,1,2,1
92,2,1,1,1,2,0
93,2,1,1,1,2,2
94,2,1,1,1,1,2
95,2,1,1,1,1,1
96,2,0,0,1,2,1
97,2,0,0,1,2,0
98,2,0,0,1,2,2
99,2,0,0,1,1,2
100,2,0,0,1,1,1
101,2,0,0,0,1,2
102,2,0,0,0,1,1
103,2,0,0,0,0,1
104,2,0,0,0,0,0
105,3,3,3,3,3,3
