,0,1,2,3,4,5
0,0,1,2,1,2,1
1,0,1,2,1,2,0
2,0,1,2,1,2,2
3,0,1,2,1,1,2
4,0,1,2,1,1,1
5,0,1,2,0,1,2
6,0,1,2,0,1,1
7,0,1,2,0,0,1
8,0,1,2,0,0,0
9,0,1,2,2,1,2
10,0,1,2,2,1,1
11,0,1,2,2,0,1
12,0,1,2,2,0,0
13,0,1,2,2,2,1
14,0,1,2,2,2,0
15,0,1,2,2,2,2
16,0,1,1,2,1,2
17,0,1,1,2,1,1
18,0,1,1,2,0,1
19,0,1,1,2,0,0
20,0,1,1,2,2,1
21,0,1,1,2,2,0
22,0,1,1,2,2,2
23,0,1,1,1,2,1
24,0,1,1,1,2,0
25,0,1,1,1,2,2
26,0,1,1,1,1,2
27,0,1,1,1,1,1
28,0,0,1,2,1,2
29,0,0,1,2,1,1
30,0,0,1,2,0,1
31,0,0,1,2,0,0
32,0,0,1,2,2,1
33,0,0,1,2,2,0
34,0,0,1,2,2,2
35,0,0,1,1,2,1
36,0,0,1,1,2,0
37,0,0,1,1,2,2
38,0,0,1,1,1,2
39,0,0,1,1,1,1
40,0,0,0,1,2,1
41,0,0,0,1,2,0
42,0,0,0,1,2,2
43,0,0,0,1,1,2
44,0,0,0,1,1,1
45,0,0,0,0,1,2
46,0,0,0,0,1,1
47,0,0,0,0,0,1
48,0,0,0,0,0,0
49,1,2,1,2,1,2
50,1,2,1,2,1,1
51,1,2,1,2,0,1
52,1,2,1,2,0,0
53,1,2,1,2,2,1
54,1,2,1,2,2,0
55,1,2,1,2,2,2
56,1,2,1,1,2,1
57,1,2,1,1,2,0
58,1,2,1,1,2,2
59,1,2,1,1,1,2
60,1,2,1,1,1,1
61,1,2,0,1,2,1
62,1,2,0,1,2,0
63,1,2,0,1,2,2
64,1,2,0,1,1,2
65,1,2,0,1,1,1
66,1,2,0,0,1,2
67,1,2,0,0,1,1
68,1,2,0,0,0,1
69,1,2,0,0,0,0
70,1,2,2,1,2,1
71,1,2,2,1,2,0
72,1,2,2,1,2,2
73,1,2,2,1,1,2
74,1,2,2,1,1,1
75,1,2,2,0,1,2
76,1,2,2,0,1,1
77,1,2,2,0,0,1
78,1,2,2,0,0,0
79,1,2,2,2,1,2
80,1,2,2,2,1,1
81,1,2,2,2,0,1
82,1,2,2,2,0,0
83,1,2,2,2,2,1
84,1,2,2,2,2,0
85,1,2,2,2,2,2
86,2,1,2,1,2,1
87,2,1,2,1,2,0
88,2,1,2,1,2,2
89,2,1,2,1,1,2
90,2,1,2,1,1,1
91,2,1,2,0,1,2
92,2,1,2,0,1,1
93,2,1,2,0,0,1
94,2,1,2,0,0,0
95,2,1,2,2,1,2
96,2,1,2,2,1,1
97,2,1,2,2,0,1
98,2,1,2,2,0,0
99,2,1,2,2,2,1
100,2,1,2,2,2,0
101,2,1,2,2,2,2
102,2,1,1,2,1,2
103,2,1,1,2,1,1
104,2,1,1,2,0,1
105,2,1,1,2,0,0
106,2,1,1,2,2,1
107,2,1,1,2,2,0
108,2,1,1,2,2,2
109,2,1,1,1,2,1
110,2,1,1,1,2,0
111,2,1,1,1,2,2
112,2,1,1,1,1,2
113,2,1,1,1,1,1
114,2,0,1,2,1,2
115,2,0,1,2,1,1
116,2,0,1,2,0,1
117,2,0,1,2,0,0
118,2,0,1,2,2,1
119,2,0,1,2,2,0
120,2,0,1,2,2,2
121,2,0,1,1,2,1
122,2,0,1,1,2,0
123,2,0,1,1,2,2
124,2,0,1,1,1,2
125,2,0,1,1,1,1
126,2,0,0,1,2,1
127,2,0,0,1,2,0
128,2,0,0,1,2,2
129,2,0,0,1,1,2
130,2,0,0,1,1,1
131,2,0,0,0,1,2
132,2,0,0,0,1,1
133,2,0,0,0,0,1
134,2,0,0,0,0,0
135,3,3,3,3,3,3
