,0,1,2,3,4,5,6,7
0,0,1,2,1,2,1,2,1
1,0,1,2,1,2,1,2,0
2,0,1,2,1,2,1,2,2
3,0,1,2,1,2,1,1,2
4,0,1,2,1,2,1,1,1
5,0,1,2,1,2,0,1,2
6,0,1,2,1,2,0,1,1
7,0,1,2,1,2,0,0,1
8,0,1,2,1,2,0,0,0
9,0,1,2,1,2,2,1,2
10,0,1,2,1,2,2,1,1
11,0,1,2,1,2,2,0,1
12,0,1,2,1,2,2,0,0
13,0,1,2,1,2,2,2,1
14,0,1,2,1,2,2,2,0
15,0,1,2,1,2,2,2,2
16,0,1,2,1,1,2,1,2
17,0,1,2,1,1,2,1,1
18,0,1,2,1,1,2,0,1
19,0,1,2,1,1,2,0,0
20,0,1,2,1,1,2,2,1
21,0,1,2,1,1,2,2,0
22,0,1,2,1,1,2,2,2
23,0,1,2,1,1,1,2,1
24,0,1,2,1,1,1,2,0
25,0,1,2,1,1,1,2,2
26,0,1,2,1,1,1,1,2
27,0,1,2,1,1,1,1,1
28,0,1,2,0,1,2,1,2
29,0,1,2,0,1,2,1,1
30,0,1,2,0,1,2,0,1
31,0,1,2,0,1,2,0,0
32,0,1,2,0,1,2,2,1
33,0,1,2,0,1,2,2,0
34,0,1,2,0,1,2,2,2
35,0,1,2,0,1,1,2,1
36,0,1,2,0,1,1,2,0
37,0,1,2,0,1,1,2,2
38,0,1,2,0,1,1,1,2
39,0,1,2,0,1,1,1,1
40,0,1,2,0,0,1,2,1
41,0,1,2,0,0,1,2,0
42,0,1,2,0,0,1,2,2
43,0,1,2,0,0,1,1,2
44,0,1,2,0,0,1,1,1
45,0,1,2,0,0,0,1,2
46,0,1,2,0,0,0,1,1
47,0,1,2,0,0,0,0,1
48,0,1,2,0,0,0,0,0
49,0,1,2,2,1,2,1,2
50,0,1,2,2,1,2,1,1
51,0,1,2,2,1,2,0,1
52,0,1,2,2,1,2,0,0
53,0,1,2,2,1,2,2,1
54,0,1,2,2,1,2,2,0
55,0,1,2,2,1,2,2,2
56,0,1,2,2,1,1,2,1
57,0,1,2,2,1,1,2,0
58,0,1,2,2,1,1,2,2
59,0,1,2,2,1,1,1,2
60,0,1,2,2,1,1,1,1
61,0,1,2,2,0,1,2,1
62,0,1,2,2,0,1,2,0
63,0,1,2,2,0,1,2,2
64,0,1,2,2,0,1,1,2
65,0,1,2,2,0,1,1,1
66,0,1,2,2,0,0,1,2
67,0,1,2,2,0,0,1,1
68,0,1,2,2,0,0,0,1
69,0,1,2,2,0,0,0,0
70,0,1,2,2,2,1,2,1
71,0,1,2,2,2,1,2,0
72,0,1,2,2,2,1,2,2
73,0,1,2,2,2,1,1,2
74,0,1,2,2,2,1,1,1
75,0,1,2,2,2,0,1,2
76,0,1,2,2,2,0,1,1
77,0,1,2,2,2,0,0,1
78,0,1,2,2,2,0,0,0
79,0,1,2,2,2,2,1,2
80,0,1,2,2,2,2,1,1
81,0,1,2,2,2,2,0,1
82,0,1,2,2,2,2,0,0
83,0,1,2,2,2,2,2,1
84,0,1,2,2,2,2,2,0
85,0,1,2,2,2,2,2,2
86,0,1,1,2,1,2,1,2
87,0,1,1,2,1,2,1,1
88,0,1,1,2,1,2,0,1
89,0,1,1,2,1,2,0,0
90,0,1,1,2,1,2,2,1
91,0,1,1,2,1,2,2,0
92,0,1,1,2,1,2,2,2
93,0,1,1,2,1,1,2,1
94,0,1,1,2,1,1,2,0
95,0,1,1,2,1,1,2,2
96,0,1,1,2,1,1,1,2
97,0,1,1,2,1,1,1,1
98,0,1,1,2,0,1,2,1
99,0,1,1,2,0,1,2,0
100,0,1,1,2,0,1,2,2
101,0,1,1,2,0,1,1,2
102,0,1,1,2,0,1,1,1
103,0,1,1,2,0,0,1,2
104,0,1,1,2,0,0,1,1
105,0,1,1,2,0,0,0,1
106,0,1,1,2,0,0,0,0
107,0,1,1,2,2,1,2,1
108,0,1,1,2,2,1,2,0
109,0,1,1,2,2,1,2,2
