,0,1,2,3,4,5,6,7
0,1,2,0,0,0,1,1,2
1,1,2,2,1,0,0,0,0
2,2,0,0,0,1,1,2,0
3,2,1,1,1,2,1,1,0
4,0,1,1,1,1,1,2,2
5,0,0,1,1,2,1,1,1
6,2,1,2,1,2,2,1,0
7,1,2,2,2,2,1,2,0
8,0,0,1,2,0,0,0,0
9,0,0,1,1,0,0,0,1
10,0,0,0,1,2,1,0,0
11,2,0,0,0,1,2,1,1
12,1,2,0,0,0,0,1,0
13,0,0,1,2,1,2,2,2
14,0,0,0,1,1,2,1,0
15,1,0,0,0,1,2,2,1
16,1,2,1,2,2,1,0,0
17,1,2,2,1,2,2,2,1
18,0,0,1,2,2,2,1,1
19,0,0,1,1,2,2,1,2
20,1,2,1,2,1,0,0,0
21,2,1,2,1,2,1,2,1
22,1,2,0,0,0,1,0,0
23,0,0,0,1,1,1,2,1
24,1,2,2,2,2,2,0,0
25,2,1,1,2,2,1,2,1
26,1,2,1,1,1,2,1,2
27,2,1,1,1,2,1,2,2
28,2,1,2,1,2,2,2,2
29,2,1,0,0,0,1,2,0
30,0,0,0,1,2,1,2,0
31,1,2,1,2,1,1,2,2
32,0,1,2,2,2,2,1,1
33,1,2,1,2,2,2,1,0
34,0,0,0,1,1,2,2,2
35,0,0,0,1,2,0,0,0
36,1,2,0,0,0,1,1,0
37,1,2,1,1,0,0,0,1
38,2,1,1,2,2,2,2,2
39,2,0,0,0,0,1,2,2
40,0,0,1,1,1,2,1,1
41,0,0,1,2,1,1,2,2
42,1,2,2,1,1,2,2,1
43,0,0,1,2,1,2,2,0
44,1,2,1,0,0,0,0,0
45,1,2,2,0,0,0,1,1
46,2,1,2,1,1,2,1,1
47,1,2,2,2,1,1,2,1
48,2,1,2,2,2,2,1,2
49,2,0,0,0,0,1,0,0
50,0,1,1,2,2,2,1,1
51,2,1,0,0,0,0,1,1
52,1,2,2,2,1,2,2,1
53,0,0,0,0,1,2,1,1
54,1,2,0,0,0,1,2,2
55,1,2,1,1,1,2,1,0
56,2,1,1,1,2,1,2,0
57,2,1,2,1,2,2,2,0
58,0,1,0,0,0,1,0,0
59,0,0,1,1,2,1,2,1
60,1,2,1,2,1,1,2,0
61,2,1,1,1,1,2,2,2
62,1,2,2,1,1,1,1,2
63,0,0,0,0,0,0,0,0
64,0,0,0,1,1,2,2,0
65,1,2,1,1,1,1,1,1
66,2,1,1,2,2,2,2,0
67,0,0,1,2,2,2,2,1
68,0,1,2,2,0,0,0,1
69,0,1,2,1,2,1,0,0
70,2,0,0,0,0,1,2,0
