,0,1,2,3,4,5,6,7
0,2,0,0,0,1,2,0,0
1,2,1,2,1,2,1,0,0
2,0,0,0,1,2,2,1,0
3,0,1,1,2,2,1,2,2
4,1,2,1,1,2,2,2,2
5,0,0,0,1,1,1,2,2
6,0,0,0,1,1,1,1,0
7,1,0,0,0,0,1,2,2
8,1,0,0,0,0,1,1,0
9,2,1,1,2,1,1,2,0
10,2,1,2,1,0,0,0,1
11,1,0,0,0,1,1,1,0
12,0,1,2,1,1,1,2,1
13,0,1,1,2,1,2,0,0
14,0,0,1,2,1,1,1,2
15,1,2,1,1,2,1,0,0
16,2,0,0,0,1,2,2,2
17,2,1,2,1,1,1,2,1
18,1,2,1,2,1,0,0,0
19,0,0,1,1,2,1,0,0
20,2,1,1,2,2,2,1,1
21,2,1,1,1,0,0,0,0
22,1,2,1,1,1,1,1,0
23,0,1,1,2,1,2,2,2
24,1,2,1,1,2,1,2,2
25,0,1,0,0,0,1,1,1
26,0,1,2,2,1,2,0,0
27,1,2,2,1,1,1,0,0
28,0,0,1,1,2,1,2,2
29,0,0,1,1,2,1,1,0
30,1,2,0,0,0,0,1,1
31,2,0,0,0,1,1,2,2
32,1,2,1,0,0,0,0,1
33,2,1,2,0,0,0,0,0
34,0,1,2,2,1,2,2,2
35,0,1,1,2,2,0,0,0
36,1,2,1,1,1,1,2,1
37,0,0,1,2,1,2,2,1
38,0,0,1,2,0,0,0,0
39,0,0,1,2,2,2,2,1
40,0,0,0,1,2,2,0,0
41,1,2,2,2,1,2,0,0
42,2,1,1,1,1,0,0,0
43,0,0,0,0,0,1,1,2
44,0,1,2,0,0,0,0,0
45,0,1,1,1,2,2,1,1
46,1,2,2,2,1,2,2,2
47,1,2,2,2,1,2,1,0
48,2,1,2,1,2,2,1,0
49,0,1,2,0,0,0,1,0
50,1,2,1,2,2,2,1,2
51,0,0,0,0,1,1,1,1
52,0,0,1,1,2,0,0,0
53,0,0,1,2,2,1,1,1
54,0,0,0,1,1,2,2,1
55,1,2,0,0,0,0,0,1
56,1,2,1,2,1,1,1,0
57,0,1,1,2,2,2,1,1
58,0,1,2,2,2,2,2,2
59,1,2,2,2,1,1,2,2
60,1,2,2,1,1,0,0,0
61,0,1,2,1,2,1,2,0
62,1,2,2,1,0,0,0,1
63,2,0,0,0,1,1,1,2
64,0,1,1,2,0,0,0,1
65,0,1,1,1,2,0,0,0
66,0,0,0,1,1,1,2,1
67,2,1,2,2,2,2,2,0
68,0,1,1,1,1,1,1,2
69,0,0,1,2,1,1,1,1
70,0,0,0,0,1,2,2,0
71,2,1,2,1,2,2,0,0
72,2,1,1,1,1,1,1,0
73,2,0,0,0,1,2,2,1
74,2,1,1,2,0,0,0,1
75,1,2,1,2,2,1,2,0
76,0,1,2,2,2,1,2,0
77,2,1,1,2,2,1,1,1
78,0,1,2,1,1,2,2,0
79,1,2,1,1,2,1,2,1
80,2,1,2,1,2,2,2,2
81,1,2,1,2,1,1,0,0
82,2,1,1,1,2,0,0,0
83,2,0,0,0,1,1,2,1
84,1,0,0,0,1,2,2,1
85,0,1,1,2,1,1,1,2
86,0,1,1,1,1,2,0,0
87,1,2,1,2,1,1,2,2
88,0,1,2,1,2,2,1,2
89,1,2,2,1,1,2,1,1
90,1,2,1,1,2,0,0,0
91,2,1,2,1,1,0,0,0
92,0,0,0,0,0,1,1,1
93,0,1,1,1,1,2,2,2
94,2,1,1,1,1,1,0,0
95,0,1,1,1,0,0,0,1
96,0,0,0,1,2,1,1,2
97,1,0,0,0,1,2,1,2
98,1,2,2,0,0,0,1,2
99,0,1,2,2,2,2,1,0
100,1,2,2,1,2,1,1,2
101,0,1,1,1,2,1,1,0
102,1,2,2,2,1,1,1,0
103,1,2,1,2,2,2,1,1
104,0,1,0,0,0,0,1,2
105,2,1,1,1,1,1,2,2
106,0,0,0,0,0,0,1,0
107,1,2,2,2,2,2,2,0
108,1,2,2,1,2,2,2,1
109,0,1,2,2,0,0,0,0
