,0,1,2,3,4,5,6,7
0,1,2,0,0,0,1,1,2
1,2,1,2,0,1,1,2,1
2,2,1,1,1,2,1,1,0
3,0,0,1,1,2,1,1,1
4,1,0,1,0,1,2,2,0
5,2,0,1,0,1,1,2,1
6,2,0,1,2,2,1,2,2
7,1,2,0,1,2,0,1,1
8,3,0,0,1,1,0,1,2
9,0,0,1,1,1,2,0,1
10,1,0,1,1,2,0,1,2
11,1,0,0,1,2,0,1,2
12,2,1,2,2,2,0,0,1
13,0,0,0,1,2,0,0,0
14,1,0,1,0,0,1,0,0
15,1,2,2,2,1,2,0,1
16,1,2,0,1,1,0,1,1
17,2,1,0,0,1,0,1,2
18,1,0,1,2,1,2,1,1
19,0,0,1,1,1,2,1,1
20,2,0,0,0,1,2,0,1
21,1,2,1,0,0,0,0,0
22,2,0,0,1,1,1,2,1
23,0,1,2,1,0,1,1,0
24,2,1,2,1,1,2,1,1
25,3,0,1,1,2,1,2,0
26,2,1,0,1,0,0,0,0
27,2,1,1,2,0,1,1,1
28,3,0,0,1,2,1,1,0
29,3,0,1,1,0,0,0,1
30,0,1,1,1,2,0,1,1
31,0,0,1,2,0,1,2,0
32,0,0,0,0,1,2,1,1
33,2,1,2,2,2,0,1,2
34,1,2,0,0,0,1,2,2
35,2,1,1,1,2,1,2,0
36,0,0,1,1,2,1,2,1
37,1,2,1,2,1,1,2,0
38,2,1,0,0,1,1,1,2
39,0,1,1,1,2,1,0,1
40,1,0,0,1,2,2,2,2
41,1,0,1,1,1,2,2,1
42,0,1,2,1,2,1,0,0
43,2,0,0,0,0,1,2,0
44,2,1,1,0,0,1,1,0
45,1,0,0,1,2,2,0,0
46,1,0,0,0,1,0,0,0
47,0,1,1,1,2,1,1,1
48,1,2,1,1,2,1,2,0
49,2,1,2,2,2,1,1,2
50,3,0,1,1,0,0,1,2
51,2,1,2,2,1,0,1,2
52,1,2,2,1,1,0,1,0
53,3,0,1,1,0,1,0,1
54,1,0,1,1,2,0,0,0
55,0,1,1,1,1,1,1,1
56,1,0,1,2,1,2,2,1
57,2,1,1,1,1,2,2,0
58,0,0,1,1,1,2,2,1
59,2,1,1,0,1,1,1,1
60,0,1,1,0,1,1,0,1
61,0,1,2,1,0,1,2,0
62,1,0,0,0,1,1,0,0
63,1,0,1,2,0,1,1,1
64,1,2,2,2,0,0,0,1
65,2,1,1,2,0,1,2,1
66,1,2,2,0,1,1,2,0
67,0,1,1,1,2,2,0,0
68,3,0,0,1,2,1,2,0
69,0,0,0,1,2,2,1,1
70,1,0,1,1,1,1,0,0
71,2,1,2,2,1,1,1,2
72,2,1,1,1,0,0,1,0
73,1,0,0,0,0,1,1,1
74,0,0,0,0,1,2,2,1
75,2,1,2,2,0,0,1,1
76,0,1,1,0,1,0,1,0
77,2,0,0,0,1,2,2,1
78,0,1,0,1,2,0,1,2
79,2,1,0,0,1,1,2,2
80,1,0,1,1,0,1,1,2
