,0,1,2,3,4,5,6,7
0,1,0,0,0,1,1,2,0
1,0,0,0,3,3,0,3,3
2,1,0,3,3,3,0,1,0
3,1,2,1,1,2,2,2,2
4,1,2,1,1,1,0,1,2
5,2,1,0,0,1,1,1,1
6,2,1,2,2,1,0,1,0
7,3,0,0,0,3,0,1,1
8,2,0,1,0,0,0,1,0
9,2,1,0,0,0,1,0,1
10,2,1,2,0,1,1,1,1
11,1,0,1,1,2,0,0,3
12,2,0,0,3,0,1,1,0
13,1,0,0,0,0,0,1,1
14,2,0,3,3,0,1,1,1
15,1,0,1,2,1,1,2,1
16,1,2,2,1,1,1,2,1
17,2,1,0,0,1,1,1,0
18,3,0,1,0,3,3,0,3
19,3,0,0,0,3,0,1,0
20,2,1,1,2,2,1,2,2
21,1,0,1,1,1,1,1,2
22,2,1,1,0,1,2,1,1
23,1,0,1,2,2,2,0,3
24,2,1,0,0,0,1,0,0
25,1,2,2,2,0,3,0,1
26,3,0,1,1,0,1,2,2
27,1,0,0,0,0,0,1,0
28,1,0,1,2,1,1,2,0
29,1,2,2,1,1,1,2,0
30,2,1,1,0,1,0,3,0
31,3,0,1,2,2,2,0,1
32,0,3,0,0,0,3,3,0
33,0,0,0,1,2,1,0,1
34,2,1,1,0,1,2,1,0
35,1,2,1,2,2,1,1,2
36,1,2,2,2,0,3,0,0
37,1,0,1,0,3,3,0,3
38,2,0,1,1,0,1,0,3
39,0,0,1,0,1,2,2,2
40,1,0,1,2,2,1,1,2
41,0,0,1,1,0,1,0,3
42,2,0,1,0,3,0,0,3
43,2,0,1,2,2,2,2,2
44,0,0,0,1,2,1,0,0
45,1,0,3,0,0,3,3,0
46,0,1,0,1,1,2,0,1
47,1,0,0,3,3,3,0,0
48,0,0,0,0,0,1,0,1
49,2,0,0,0,1,2,2,1
50,2,0,0,1,1,2,1,2
51,3,0,0,0,3,0,0,1
52,2,0,1,2,0,0,1,2
53,0,1,0,0,1,0,0,1
54,0,0,0,3,0,3,3,3
55,0,0,0,1,0,0,1,2
56,0,3,3,0,3,0,0,3
57,0,1,0,1,1,2,0,0
58,3,0,1,1,2,2,1,1
59,0,3,0,0,1,0,1,2
60,0,0,0,0,0,1,0,0
61,1,0,1,2,0,3,3,0
62,2,0,0,0,1,2,2,0
63,3,0,1,2,1,2,2,2
64,2,1,1,2,2,1,0,1
65,0,3,3,0,1,1,1,1
66,0,1,0,0,1,0,0,0
