,0,1,2,3,4,5,6,7
0,0,1,1,1,1,0,1,2
1,2,1,2,1,2,1,0,0
2,0,0,1,1,1,1,0,1
3,0,0,0,1,2,2,1,0
4,2,1,1,1,1,0,1,0
5,0,0,0,1,1,1,2,2
6,0,0,0,1,1,1,1,0
7,2,1,0,0,1,1,2,2
8,2,1,2,1,0,0,0,1
9,1,0,1,0,0,1,0,0
10,0,1,2,1,1,1,2,1
11,0,1,1,2,1,2,0,0
12,2,0,0,0,1,2,2,2
13,2,1,2,1,1,1,2,1
14,0,1,2,0,1,0,1,1
15,0,1,1,2,0,1,2,1
16,1,0,1,2,0,1,2,1
17,3,0,1,1,0,0,1,2
18,0,1,1,0,1,1,0,0
19,1,2,0,1,1,1,2,0
20,0,1,0,0,0,1,1,1
21,3,0,1,0,1,2,0,1
22,3,0,1,1,1,2,1,2
23,1,2,2,0,1,2,2,1
24,1,2,1,0,0,0,0,1
25,3,0,0,0,1,0,1,1
26,0,1,2,2,1,2,2,2
27,1,0,1,2,0,0,0,0
28,0,0,1,2,1,2,2,1
29,1,2,2,2,1,2,0,0
30,0,0,0,1,2,2,0,0
31,0,0,1,2,2,2,2,1
32,2,1,1,1,1,0,0,0
33,0,0,1,1,1,0,1,2
34,0,1,1,1,2,0,1,0
35,2,0,1,0,0,1,0,0
36,0,0,0,1,1,0,1,0
37,2,0,0,1,1,2,1,1
38,2,1,1,2,0,1,0,1
39,2,1,2,1,2,2,1,0
40,0,0,0,0,1,1,1,1
41,0,1,0,0,0,1,0,1
42,0,1,0,1,2,2,0,0
43,0,0,0,1,1,2,2,1
44,1,2,2,1,0,1,1,0
45,1,2,2,1,0,1,2,2
46,2,1,0,1,2,0,1,0
47,2,0,1,0,1,1,2,1
48,2,0,0,1,0,1,1,1
49,0,1,1,1,2,0,0,0
50,2,1,1,0,1,2,0,0
51,2,1,2,2,2,2,2,0
52,1,2,0,1,1,2,1,2
53,0,1,1,1,1,1,1,2
54,0,0,1,2,1,1,1,1
55,3,0,0,1,1,2,2,0
56,2,1,2,1,2,2,0,0
57,2,1,1,1,1,1,1,0
58,2,1,1,2,0,0,0,1
59,2,1,0,0,1,2,1,0
60,1,2,0,0,1,1,2,2
61,1,2,1,1,2,1,2,1
62,1,0,1,1,2,0,1,1
63,0,0,0,0,1,0,1,1
64,2,1,0,1,0,0,0,1
65,2,1,2,0,0,1,2,0
66,3,0,1,0,0,1,1,1
67,2,0,1,2,2,2,2,0
68,3,0,1,1,0,1,1,2
69,3,0,1,1,1,1,1,2
70,3,0,1,1,1,1,0,1
71,1,0,0,0,1,2,2,1
72,1,2,0,1,0,1,1,2
73,2,0,0,1,0,1,0,1
74,0,1,1,2,1,1,1,2
75,0,1,1,1,1,2,0,0
76,0,1,2,2,0,1,2,2
77,0,1,2,1,2,2,1,2
78,1,0,0,1,0,0,1,1
79,1,2,1,2,1,1,2,2
80,1,2,1,1,2,0,0,0
81,2,1,2,2,0,0,1,1
82,3,0,1,1,1,2,2,1
83,2,0,1,1,1,1,1,2
84,1,0,1,2,2,2,1,2
85,2,1,1,1,1,1,0,0
86,0,1,2,0,1,2,1,0
87,0,0,1,2,1,0,1,1
88,0,1,1,1,2,1,1,0
89,0,1,0,0,1,1,2,0
90,0,0,0,0,1,0,0,1
91,0,1,1,0,1,2,2,1
92,3,0,1,0,0,1,0,1
93,0,1,0,0,0,0,1,2
94,1,2,1,0,1,2,2,1
95,0,1,1,1,0,0,1,1
96,2,0,0,1,2,2,1,1
97,1,0,0,1,2,1,0,0
98,1,2,2,2,2,2,2,0
99,3,0,1,0,0,0,1,1
100,0,1,2,1,0,1,2,1
101,0,1,2,2,2,2,2,1
102,1,2,2,2,1,1,2,1
103,0,0,1,1,0,0,0,0
104,3,0,1,1,1,0,1,2
105,2,0,0,1,0,0,0,1
106,1,2,0,1,0,0,1,2
107,0,0,1,1,1,2,0,0
108,1,2,0,0,1,2,2,1
109,0,1,1,1,0,1,1,0
110,2,0,1,1,2,1,1,0
111,0,1,2,2,1,0,1,0
112,1,2,2,2,0,0,0,0
113,2,1,2,2,2,1,2,0
114,1,2,2,0,0,1,1,1
115,2,1,2,1,1,2,2,0
116,0,1,1,1,2,1,0,0
117,3,0,0,1,0,1,2,0
118,1,0,0,1,1,1,2,1
119,0,1,0,1,2,1,2,1
120,3,0,0,1,1,1,2,0
121,2,1,1,2,0,1,2,2
122,1,0,1,2,1,0,1,1
123,2,1,1,1,1,2,2,0
124,0,0,1,0,1,2,2,1
125,3,0,1,0,0,0,0,1
126,1,0,1,1,1,1,1,1
127,2,1,2,0,1,0,0,1
128,1,0,1,1,2,1,1,1
129,2,0,0,1,1,1,2,0
130,1,0,1,1,0,0,1,0
131,1,0,1,2,1,1,1,0
132,0,1,1,1,0,1,0,0
133,1,2,1,2,2,0,1,1
134,3,0,1,1,2,1,1,0
135,1,0,0,1,0,1,1,1
136,0,0,0,1,2,1,1,1
137,1,2,2,0,0,0,1,1
138,0,0,1,2,0,1,2,0
139,1,0,0,1,0,0,0,0
140,1,0,1,1,2,2,1,0
141,0,1,2,1,1,1,2,2
142,2,0,1,1,1,2,1,2
143,0,1,0,1,2,1,1,1
144,2,0,1,1,1,1,2,1
145,2,0,1,1,2,1,2,1
146,0,1,1,2,0,1,2,2
147,1,2,2,1,2,0,1,2
148,1,0,1,1,0,0,0,0
149,0,1,0,0,0,1,1,2
150,2,0,1,2,1,2,1,1
151,2,0,1,0,1,2,2,0
152,0,1,2,1,0,1,0,1
153,1,0,1,2,1,1,0,0
154,3,0,0,1,2,2,2,0
155,0,0,1,1,0,1,0,0
156,3,0,0,0,1,0,1,2
157,0,0,0,1,0,1,2,0
158,1,2,0,0,0,1,2,1
159,2,1,1,2,2,2,2,2
160,3,0,1,1,2,1,0,0
161,0,0,1,2,1,2,2,2
162,0,0,1,2,1,2,1,0
163,2,0,1,2,2,1,2,2
164,2,1,2,2,1,1,2,2
165,2,1,2,2,1,1,1,0
166,2,0,1,1,2,2,2,0
167,1,2,2,0,0,0,0,1
168,0,1,2,2,1,1,2,2
169,0,1,2,2,1,1,1,0
170,2,1,2,1,0,1,2,0
171,0,0,1,2,2,1,2,1
172,0,1,0,1,2,1,0,1
173,0,1,1,2,2,2,2,1
174,1,2,1,1,2,2,2,0
175,1,0,0,0,0,1,2,0
176,1,0,0,1,1,2,2,1
177,0,0,1,1,1,1,2,1
178,0,1,1,2,0,0,1,0
179,0,1,2,0,0,1,1,2
180,0,1,1,2,1,2,2,0
181,2,1,1,1,0,1,1,1
182,2,0,1,2,0,1,0,1
183,0,0,0,0,1,2,1,1
184,2,0,0,0,0,1,0,1
185,2,0,0,1,0,1,1,2
186,3,0,1,1,2,0,0,0
187,0,1,0,0,1,2,2,2
188,0,1,0,0,1,2,1,0
189,2,1,1,2,2,1,2,1
190,2,0,1,2,2,0,1,0
191,0,1,2,2,2,1,1,1
192,2,1,2,2,1,0,1,0
193,3,0,1,2,0,0,1,0
194,3,0,1,0,1,2,2,1
195,0,0,0,0,0,1,1,0
196,0,1,2,1,1,0,0,0
197,0,1,0,1,2,0,0,1
198,1,2,2,0,1,1,1,1
199,1,2,2,2,1,2,2,0
200,1,0,1,1,2,0,1,2
201,1,0,1,1,1,0,0,1
202,2,0,1,0,0,1,2,0
203,1,2,1,2,2,2,1,0
204,1,0,0,0,1,2,2,2
205,2,1,2,2,0,0,1,2
206,0,0,1,0,1,1,1,1
207,0,1,1,0,1,0,1,1
208,2,0,0,0,0,0,1,2
209,0,1,0,0,0,1,2,1
210,2,1,2,2,1,0,0,0
